container_id,day,date,sprouts_counted,average_height_mm,notes
C01,3,,,,
C01,6,,,,
C01,9,,,,
C01,12,,,,
C01,15,,,,
C01,18,,,,
C01,21,,,,
C02,3,,,,
C02,6,,,,
C02,9,,,,
C02,12,,,,
C02,15,,,,
C02,18,,,,
C02,21,,,,
C03,3,,,,
C03,6,,,,
C03,9,,,,
C03,12,,,,
C03,15,,,,
C03,18,,,,
C03,21,,,,
C04,3,,,,
C04,6,,,,
C04,9,,,,
C04,12,,,,
C04,15,,,,
C04,18,,,,
C04,21,,,,
C05,3,,,,
C05,6,,,,
C05,9,,,,
C05,12,,,,
C05,15,,,,
C05,18,,,,
C05,21,,,,
C06,3,,,,
C06,6,,,,
C06,9,,,,
C06,12,,,,
C06,15,,,,
C06,18,,,,
C06,21,,,,
C07,3,,,,
C07,6,,,,
C07,9,,,,
C07,12,,,,
C07,15,,,,
C07,18,,,,
C07,21,,,,
C08,3,,,,
C08,6,,,,
C08,9,,,,
C08,12,,,,
C08,15,,,,
C08,18,,,,
C08,21,,,,
C09,3,,,,
C09,6,,,,
C09,9,,,,
C09,12,,,,
C09,15,,,,
C09,18,,,,
C09,21,,,,
C10,3,,,,
C10,6,,,,
C10,9,,,,
C10,12,,,,
C10,15,,,,
C10,18,,,,
C10,21,,,,
C11,3,,,,
C11,6,,,,
C11,9,,,,
C11,12,,,,
C11,15,,,,
C11,18,,,,
C11,21,,,,
C12,3,,,,
C12,6,,,,
C12,9,,,,
C12,12,,,,
C12,15,,,,
C12,18,,,,
C12,21,,,,
C13,3,,,,
C13,6,,,,
C13,9,,,,
C13,12,,,,
C13,15,,,,
C13,18,,,,
C13,21,,,,
C14,3,,,,
C14,6,,,,
C14,9,,,,
C14,12,,,,
C14,15,,,,
C14,18,,,,
C14,21,,,,
C15,3,,,,
C15,6,,,,
C15,9,,,,
C15,12,,,,
C15,15,,,,
C15,18,,,,
C15,21,,,,
