container_id,day,date,sprouts_counted,average_height_mm,notes
C01,3,2027-02-11,1,1.7,
C01,6,2027-02-14,1,3.1,
C01,9,2027-02-17,2,4.4,
C01,12,2027-02-20,2,5.7,
C01,15,2027-02-23,2,6.8,
C01,18,2027-02-26,2,8.0,
C01,21,2027-03-01,2,9.1,
C02,3,2027-02-11,0,3.0,
C02,6,2027-02-14,1,5.3,
C02,9,2027-02-17,2,7.5,
C02,12,2027-02-20,2,9.6,
C02,15,2027-02-23,2,11.6,
C02,18,2027-02-26,2,13.6,
C02,21,2027-03-01,2,15.5,
C03,3,2027-02-11,0,2.2,
C03,6,2027-02-14,1,3.9,
C03,9,2027-02-17,2,5.6,
C03,12,2027-02-20,2,7.1,
C03,15,2027-02-23,2,8.6,
C03,18,2027-02-26,2,10.0,
C03,21,2027-03-01,2,11.4,
C04,3,2027-02-11,1,4.2,
C04,6,2027-02-14,2,7.6,
C04,9,2027-02-17,3,10.7,
C04,12,2027-02-20,3,13.6,
C04,15,2027-02-23,3,16.5,
C04,18,2027-02-26,3,19.2,
C04,21,2027-03-01,3,21.9,
C05,3,2027-02-11,1,3.8,
C05,6,2027-02-14,2,6.8,
C05,9,2027-02-17,3,9.6,
C05,12,2027-02-20,3,12.3,
C05,15,2027-02-23,3,14.9,
C05,18,2027-02-26,3,17.4,
C05,21,2027-03-01,3,19.8,
C06,3,2027-02-11,1,4.3,
C06,6,2027-02-14,2,7.8,
C06,9,2027-02-17,4,10.9,
C06,12,2027-02-20,4,14.0,
C06,15,2027-02-23,4,16.9,
C06,18,2027-02-26,4,19.7,
C06,21,2027-03-01,4,22.5,
C07,3,2027-02-11,2,9.3,
C07,6,2027-02-14,4,16.8,
C07,9,2027-02-17,8,23.7,
C07,12,2027-02-20,8,30.2,
C07,15,2027-02-23,8,36.6,
C07,18,2027-02-26,8,42.7,
C07,21,2027-03-01,8,48.7,
C08,3,2027-02-11,1,10.3,
C08,6,2027-02-14,4,18.5,
C08,9,2027-02-17,7,26.2,
C08,12,2027-02-20,7,33.4,
C08,15,2027-02-23,7,40.4,
C08,18,2027-02-26,7,47.2,
C08,21,2027-03-01,7,53.8,
C09,3,2027-02-11,2,9.3,
C09,6,2027-02-14,4,16.8,
C09,9,2027-02-17,8,23.7,
C09,12,2027-02-20,8,30.2,
C09,15,2027-02-23,8,36.5,
C09,18,2027-02-26,8,42.7,
C09,21,2027-03-01,8,48.6,
C10,3,2027-02-11,1,6.1,
C10,6,2027-02-14,2,11.0,
C10,9,2027-02-17,3,15.5,
C10,12,2027-02-20,3,19.8,
C10,15,2027-02-23,3,23.9,
C10,18,2027-02-26,3,27.9,
C10,21,2027-03-01,3,31.8,
C11,3,2027-02-11,1,4.4,
C11,6,2027-02-14,2,7.8,
C11,9,2027-02-17,4,11.1,
C11,12,2027-02-20,4,14.1,
C11,15,2027-02-23,4,17.1,
C11,18,2027-02-26,4,20.0,
C11,21,2027-03-01,4,22.8,
C12,3,2027-02-11,1,6.0,
C12,6,2027-02-14,3,10.9,
C12,9,2027-02-17,5,15.3,
C12,12,2027-02-20,5,19.6,
C12,15,2027-02-23,5,23.6,
C12,18,2027-02-26,5,27.6,
C12,21,2027-03-01,5,31.5,
C13,3,2027-02-11,2,12.0,
C13,6,2027-02-14,5,21.7,
C13,9,2027-02-17,9,30.6,
C13,12,2027-02-20,9,39.1,
C13,15,2027-02-23,9,47.3,
C13,18,2027-02-26,9,55.2,
C13,21,2027-03-01,9,62.9,
C14,3,2027-02-11,2,12.6,
C14,6,2027-02-14,5,22.8,
C14,9,2027-02-17,9,32.2,
C14,12,2027-02-20,9,41.1,
C14,15,2027-02-23,9,49.7,
C14,18,2027-02-26,9,58.0,
C14,21,2027-03-01,9,66.1,
C15,3,2027-02-11,2,12.1,
C15,6,2027-02-14,5,21.8,
C15,9,2027-02-17,9,30.7,
C15,12,2027-02-20,9,39.2,
C15,15,2027-02-23,9,47.4,
C15,18,2027-02-26,9,55.4,
C15,21,2027-03-01,9,63.1,
