container_id,week,date,crumbs_on_sieve_g,dry_weight_g,wet_weight_g,ph,nitrate_ppm,cloth_start_g,cloth_end_g,notes
C01,1,2027-01-11,0.7,9.98,12.0,8.4,0,2.01,,
C01,2,2027-01-18,0.7,9.86,11.5,8.3,1,2.01,1.99,
C01,3,2027-01-25,0.7,10.06,12.1,8.2,1,2.0,1.98,
C01,4,2027-02-01,0.7,9.89,11.8,8.2,3,2.01,1.94,
C02,1,2027-01-11,0.6,10.14,12.1,8.2,3,2.02,,
C02,2,2027-01-18,0.4,10.18,12.3,8.1,1,2.01,2.01,
C02,3,2027-01-25,0.5,9.88,11.7,8.2,2,2.03,2.03,
C02,4,2027-02-01,0.3,9.98,12.0,8.1,2,1.97,1.97,
C03,1,2027-01-11,0.3,9.88,11.8,8.3,0,2.0,,
C03,2,2027-01-18,0.6,10.1,12.0,8.4,1,1.97,1.93,
C03,3,2027-01-25,0.5,10.05,12.3,8.4,1,1.98,1.94,
C03,4,2027-02-01,0.7,10.08,11.9,8.2,2,2.01,1.95,
C04,1,2027-01-11,1.1,10.07,12.5,8.1,7,1.97,,
C04,2,2027-01-18,1.3,9.93,12.8,8.1,6,2.03,2.03,
C04,3,2027-01-25,1.2,9.88,12.5,8.0,13,2.02,1.9,
C04,4,2027-02-01,1.3,9.9,12.4,8.0,13,1.97,1.77,
C05,1,2027-01-11,1.2,9.89,11.8,8.1,4,2.01,,
C05,2,2027-01-18,1.3,9.82,11.9,8.1,9,2.02,2.0,
C05,3,2027-01-25,1.5,10.11,12.9,8.2,7,2.03,1.95,
C05,4,2027-02-01,1.5,9.88,12.7,8.0,11,1.98,1.83,
C06,1,2027-01-11,1.1,10.04,12.4,8.2,6,1.94,,
C06,2,2027-01-18,1.2,10.04,12.7,8.0,8,1.97,1.93,
C06,3,2027-01-25,1.6,10.01,12.6,7.8,10,2.01,1.89,
C06,4,2027-02-01,1.4,10.0,12.7,7.7,14,1.99,1.78,
C07,1,2027-01-11,2.0,9.91,12.5,8.0,21,2.0,,
C07,2,2027-01-18,2.6,9.98,13.6,7.5,24,2.02,1.9,
C07,3,2027-01-25,3.2,9.99,14.2,7.3,37,1.95,1.68,
C07,4,2027-02-01,3.9,10.01,14.6,7.0,35,1.97,1.48,
C08,1,2027-01-11,2.1,10.05,13.1,8.0,13,2.02,,
C08,2,2027-01-18,2.9,9.99,13.5,7.5,22,1.97,1.84,
C08,3,2027-01-25,3.3,10.2,14.4,7.3,34,2.02,1.72,
C08,4,2027-02-01,4.1,9.99,14.7,7.2,45,2.02,1.42,
C09,1,2027-01-11,1.6,9.93,12.5,7.7,14,2.05,,
C09,2,2027-01-18,3.0,10.0,13.7,7.4,26,1.98,1.88,
C09,3,2027-01-25,3.1,9.98,14.3,7.5,38,1.98,1.69,
C09,4,2027-02-01,4.0,10.05,14.7,7.2,42,1.98,1.46,
C10,1,2027-01-11,1.3,9.94,12.6,8.1,5,1.95,,
C10,2,2027-01-18,1.4,10.02,13.0,7.8,12,2.02,1.97,
C10,3,2027-01-25,1.9,10.08,13.3,7.9,17,1.97,1.82,
C10,4,2027-02-01,2.3,10.03,13.1,7.6,20,2.04,1.75,
C11,1,2027-01-11,1.2,9.95,12.7,7.9,9,1.98,,
C11,2,2027-01-18,1.5,9.95,13.1,7.7,12,1.99,1.94,
C11,3,2027-01-25,1.8,10.15,13.1,7.7,12,1.97,1.86,
C11,4,2027-02-01,2.4,10.03,13.3,7.7,23,1.99,1.72,
C12,1,2027-01-11,1.4,10.03,12.4,8.3,8,2.02,,
C12,2,2027-01-18,1.5,10.02,12.5,8.0,12,1.99,1.95,
C12,3,2027-01-25,2.1,10.02,13.1,7.7,12,2.02,1.88,
C12,4,2027-02-01,2.2,9.85,13.1,7.7,22,1.99,1.68,
C13,1,2027-01-11,5.2,10.01,15.8,6.5,59,1.96,,
C13,2,2027-01-18,5.4,9.89,15.8,6.7,54,1.96,1.72,
C13,3,2027-01-25,5.0,9.96,15.3,6.4,58,2.01,1.46,
C13,4,2027-02-01,5.2,9.89,15.6,6.4,42,2.0,1.28,
C14,1,2027-01-11,4.9,10.02,16.0,6.5,60,1.96,,
C14,2,2027-01-18,5.4,9.97,15.6,6.6,41,2.05,1.73,
C14,3,2027-01-25,5.2,9.96,15.6,6.8,49,1.95,1.45,
C14,4,2027-02-01,5.4,10.05,16.3,6.4,42,2.01,1.29,
C15,1,2027-01-11,5.3,10.15,16.0,6.6,82,2.0,,
C15,2,2027-01-18,5.3,10.19,16.2,6.4,42,1.99,1.76,
C15,3,2027-01-25,5.4,10.16,16.1,6.4,77,1.96,1.49,
C15,4,2027-02-01,5.6,10.05,16.0,6.6,60,2.04,1.31,
