box_id,day,date,live_worms,egg_cases,hatchlings,notes
B01,14,,,,,
B01,60,,,,,
B02,14,,,,,
B02,60,,,,,
B03,14,,,,,
B03,60,,,,,
B04,14,,,,,
B04,60,,,,,
B05,14,,,,,
B05,60,,,,,
B06,14,,,,,
B06,60,,,,,
B07,14,,,,,
B07,60,,,,,
B08,14,,,,,
B08,60,,,,,
B09,14,,,,,
B09,60,,,,,
B10,14,,,,,
B10,60,,,,,
B11,14,,,,,
B11,60,,,,,
B12,14,,,,,
B12,60,,,,,
B13,14,,,,,
B13,60,,,,,
B14,14,,,,,
B14,60,,,,,
B15,14,,,,,
B15,60,,,,,
B16,14,,,,,
B16,60,,,,,
B17,14,,,,,
B17,60,,,,,
B18,14,,,,,
B18,60,,,,,
