box_id,level,perchlorate_ppm,bench_position,worms_in_g,date_started
B01,A,0,15,3.86,2027-02-01
B02,A,0,13,3.72,2027-02-01
B03,A,0,8,4.12,2027-02-01
B04,B,50,18,3.66,2027-02-01
B05,B,50,7,4.03,2027-02-01
B06,B,50,1,3.89,2027-02-01
B07,C,100,9,3.65,2027-02-01
B08,C,100,4,4.01,2027-02-01
B09,C,100,10,3.63,2027-02-01
B10,D,250,5,3.95,2027-02-01
B11,D,250,11,3.66,2027-02-01
B12,D,250,12,3.67,2027-02-01
B13,E,500,16,3.94,2027-02-01
B14,E,500,14,4.26,2027-02-01
B15,E,500,6,3.7,2027-02-01
B16,F,1000,17,3.78,2027-02-01
B17,F,1000,3,4.1,2027-02-01
B18,F,1000,2,4.36,2027-02-01
