box_id,day,date,water_added_ml,notes
P01,7,,,
P01,14,,,
P01,21,,,
P01,28,,,
P01,35,,,
P01,42,,,
P01,49,,,
P01,56,,,
P02,7,,,
P02,14,,,
P02,21,,,
P02,28,,,
P02,35,,,
P02,42,,,
P02,49,,,
P02,56,,,
P03,7,,,
P03,14,,,
P03,21,,,
P03,28,,,
P03,35,,,
P03,42,,,
P03,49,,,
P03,56,,,
P04,7,,,
P04,14,,,
P04,21,,,
P04,28,,,
P04,35,,,
P04,42,,,
P04,49,,,
P04,56,,,
P05,7,,,
P05,14,,,
P05,21,,,
P05,28,,,
P05,35,,,
P05,42,,,
P05,49,,,
P05,56,,,
P06,7,,,
P06,14,,,
P06,21,,,
P06,28,,,
P06,35,,,
P06,42,,,
P06,49,,,
P06,56,,,
P07,7,,,
P07,14,,,
P07,21,,,
P07,28,,,
P07,35,,,
P07,42,,,
P07,49,,,
P07,56,,,
P08,7,,,
P08,14,,,
P08,21,,,
P08,28,,,
P08,35,,,
P08,42,,,
P08,49,,,
P08,56,,,
P09,7,,,
P09,14,,,
P09,21,,,
P09,28,,,
P09,35,,,
P09,42,,,
P09,49,,,
P09,56,,,
P10,7,,,
P10,14,,,
P10,21,,,
P10,28,,,
P10,35,,,
P10,42,,,
P10,49,,,
P10,56,,,
P11,7,,,
P11,14,,,
P11,21,,,
P11,28,,,
P11,35,,,
P11,42,,,
P11,49,,,
P11,56,,,
P12,7,,,
P12,14,,,
P12,21,,,
P12,28,,,
P12,35,,,
P12,42,,,
P12,49,,,
P12,56,,,
