box_id,day,date,water_added_ml,notes
P01,7,2027-02-15,25,
P01,14,2027-02-22,10,
P01,21,2027-03-01,10,
P01,28,2027-03-08,0,
P01,35,2027-03-15,0,
P01,42,2027-03-22,10,
P01,49,2027-03-29,10,
P01,56,2027-04-05,10,
P02,7,2027-02-15,10,
P02,14,2027-02-22,10,
P02,21,2027-03-01,10,
P02,28,2027-03-08,25,
P02,35,2027-03-15,20,
P02,42,2027-03-22,0,
P02,49,2027-03-29,20,
P02,56,2027-04-05,25,
P03,7,2027-02-15,20,
P03,14,2027-02-22,0,
P03,21,2027-03-01,20,
P03,28,2027-03-08,20,
P03,35,2027-03-15,20,
P03,42,2027-03-22,25,
P03,49,2027-03-29,20,
P03,56,2027-04-05,10,
P04,7,2027-02-15,0,
P04,14,2027-02-22,20,
P04,21,2027-03-01,25,
P04,28,2027-03-08,0,
P04,35,2027-03-15,25,
P04,42,2027-03-22,20,
P04,49,2027-03-29,25,
P04,56,2027-04-05,0,
P05,7,2027-02-15,25,
P05,14,2027-02-22,20,
P05,21,2027-03-01,20,
P05,28,2027-03-08,20,
P05,35,2027-03-15,25,
P05,42,2027-03-22,0,
P05,49,2027-03-29,20,
P05,56,2027-04-05,20,
P06,7,2027-02-15,20,
P06,14,2027-02-22,10,
P06,21,2027-03-01,20,
P06,28,2027-03-08,20,
P06,35,2027-03-15,0,
P06,42,2027-03-22,20,
P06,49,2027-03-29,20,
P06,56,2027-04-05,20,
P07,7,2027-02-15,0,
P07,14,2027-02-22,0,
P07,21,2027-03-01,25,
P07,28,2027-03-08,0,
P07,35,2027-03-15,10,
P07,42,2027-03-22,20,
P07,49,2027-03-29,20,
P07,56,2027-04-05,25,
P08,7,2027-02-15,25,
P08,14,2027-02-22,20,
P08,21,2027-03-01,10,
P08,28,2027-03-08,10,
P08,35,2027-03-15,10,
P08,42,2027-03-22,25,
P08,49,2027-03-29,0,
P08,56,2027-04-05,10,
P09,7,2027-02-15,10,
P09,14,2027-02-22,25,
P09,21,2027-03-01,25,
P09,28,2027-03-08,20,
P09,35,2027-03-15,25,
P09,42,2027-03-22,20,
P09,49,2027-03-29,20,
P09,56,2027-04-05,25,
P10,7,2027-02-15,10,
P10,14,2027-02-22,25,
P10,21,2027-03-01,20,
P10,28,2027-03-08,10,
P10,35,2027-03-15,0,
P10,42,2027-03-22,25,
P10,49,2027-03-29,20,
P10,56,2027-04-05,20,
P11,7,2027-02-15,20,
P11,14,2027-02-22,25,
P11,21,2027-03-01,20,
P11,28,2027-03-08,20,
P11,35,2027-03-15,20,
P11,42,2027-03-22,10,
P11,49,2027-03-29,0,
P11,56,2027-04-05,25,
P12,7,2027-02-15,20,
P12,14,2027-02-22,20,
P12,21,2027-03-01,20,
P12,28,2027-03-08,20,
P12,35,2027-03-15,25,
P12,42,2027-03-22,20,
P12,49,2027-03-29,10,
P12,56,2027-04-05,25,
