box_id,day,date,sample_dry_g,available_p_mg_per_kg,method,notes
P01,0,2027-02-08,4.91,13.4,Olsen kit,
P01,56,2027-04-05,4.86,13.0,Olsen kit,
P02,0,2027-02-08,5.15,11.5,Olsen kit,
P02,56,2027-04-05,4.92,15.4,Olsen kit,
P03,0,2027-02-08,4.87,12.2,Olsen kit,
P03,56,2027-04-05,4.92,14.3,Olsen kit,
P04,0,2027-02-08,4.99,12.0,Olsen kit,
P04,56,2027-04-05,5.08,32.5,Olsen kit,
P05,0,2027-02-08,4.98,11.6,Olsen kit,
P05,56,2027-04-05,5.18,24.1,Olsen kit,
P06,0,2027-02-08,4.81,12.5,Olsen kit,
P06,56,2027-04-05,5.18,28.7,Olsen kit,
P07,0,2027-02-08,4.87,12.5,Olsen kit,
P07,56,2027-04-05,5.08,18.4,Olsen kit,
P08,0,2027-02-08,5.06,12.0,Olsen kit,
P08,56,2027-04-05,4.86,20.0,Olsen kit,
P09,0,2027-02-08,4.97,13.1,Olsen kit,
P09,56,2027-04-05,4.92,20.2,Olsen kit,
P10,0,2027-02-08,4.96,45.7,Olsen kit,
P10,56,2027-04-05,4.86,48.1,Olsen kit,
P11,0,2027-02-08,4.83,42.9,Olsen kit,
P11,56,2027-04-05,5.03,53.8,Olsen kit,
P12,0,2027-02-08,5.02,42.6,Olsen kit,
P12,56,2027-04-05,4.9,55.6,Olsen kit,
