# MarsWorm | V3 Earth microbes, no plumbing | Exp 1 | Does Azospira clean dirt, and not just water?
# Sheet: care_log.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
jar_id,day,date,damp_ok,water_added_ml,headspace_reflushed,notes
J01,7,,,,,
J01,14,,,,,
J01,21,,,,,
J01,28,,,,,
J02,7,,,,,
J02,14,,,,,
J02,21,,,,,
J02,28,,,,,
J03,7,,,,,
J03,14,,,,,
J03,21,,,,,
J03,28,,,,,
J04,7,,,,,
J04,14,,,,,
J04,21,,,,,
J04,28,,,,,
J05,7,,,,,
J05,14,,,,,
J05,21,,,,,
J05,28,,,,,
J06,7,,,,,
J06,14,,,,,
J06,21,,,,,
J06,28,,,,,
J07,7,,,,,
J07,14,,,,,
J07,21,,,,,
J07,28,,,,,
J08,7,,,,,
J08,14,,,,,
J08,21,,,,,
J08,28,,,,,
J09,7,,,,,
J09,14,,,,,
J09,21,,,,,
J09,28,,,,,
J10,7,,,,,
J10,14,,,,,
J10,21,,,,,
J10,28,,,,,
J11,7,,,,,
J11,14,,,,,
J11,21,,,,,
J11,28,,,,,
J12,7,,,,,
J12,14,,,,,
J12,21,,,,,
J12,28,,,,,
