# MarsWorm | V3 Earth microbes, no plumbing | Exp 1 | Does Azospira clean dirt, and not just water?
# Sheet: readings.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
jar_id,day,date,perchlorate_mg_per_l,chloride_mg_per_l,ph,notes
J01,0,,,,,
J01,7,,,,,
J01,14,,,,,
J01,21,,,,,
J01,28,,,,,
J02,0,,,,,
J02,7,,,,,
J02,14,,,,,
J02,21,,,,,
J02,28,,,,,
J03,0,,,,,
J03,7,,,,,
J03,14,,,,,
J03,21,,,,,
J03,28,,,,,
J04,0,,,,,
J04,7,,,,,
J04,14,,,,,
J04,21,,,,,
J04,28,,,,,
J05,0,,,,,
J05,7,,,,,
J05,14,,,,,
J05,21,,,,,
J05,28,,,,,
J06,0,,,,,
J06,7,,,,,
J06,14,,,,,
J06,21,,,,,
J06,28,,,,,
J07,0,,,,,
J07,7,,,,,
J07,14,,,,,
J07,21,,,,,
J07,28,,,,,
J08,0,,,,,
J08,7,,,,,
J08,14,,,,,
J08,21,,,,,
J08,28,,,,,
J09,0,,,,,
J09,7,,,,,
J09,14,,,,,
J09,21,,,,,
J09,28,,,,,
J10,0,,,,,
J10,7,,,,,
J10,14,,,,,
J10,21,,,,,
J10,28,,,,,
J11,0,,,,,
J11,7,,,,,
J11,14,,,,,
J11,21,,,,,
J11,28,,,,,
J12,0,,,,,
J12,7,,,,,
J12,14,,,,,
J12,21,,,,,
J12,28,,,,,
