# MarsWorm | V3 Earth microbes, no plumbing | Exp 1 | Does Azospira clean dirt, and not just water?
# Sheet: care_log.csv | invented numbers, a dry run and not a result | scenario: dirt-cleans | every column is defined in the codebook for this experiment
jar_id,day,date,damp_ok,water_added_ml,headspace_reflushed,notes
J01,7,2027-03-08,y,10,y,
J01,14,2027-03-15,n,0,y,
J01,21,2027-03-22,y,0,y,
J01,28,2027-03-29,y,0,y,
J02,7,2027-03-08,y,5,y,
J02,14,2027-03-15,y,0,y,
J02,21,2027-03-22,y,10,y,
J02,28,2027-03-29,y,5,y,
J03,7,2027-03-08,y,0,y,
J03,14,2027-03-15,y,0,y,
J03,21,2027-03-22,y,0,y,
J03,28,2027-03-29,n,10,y,
J04,7,2027-03-08,y,0,y,
J04,14,2027-03-15,y,0,y,
J04,21,2027-03-22,n,5,y,
J04,28,2027-03-29,y,5,y,
J05,7,2027-03-08,y,0,y,
J05,14,2027-03-15,y,0,y,
J05,21,2027-03-22,y,10,y,
J05,28,2027-03-29,n,0,y,
J06,7,2027-03-08,y,5,y,
J06,14,2027-03-15,y,0,y,
J06,21,2027-03-22,y,0,y,
J06,28,2027-03-29,y,10,y,
J07,7,2027-03-08,y,5,y,
J07,14,2027-03-15,y,0,y,
J07,21,2027-03-22,y,10,y,
J07,28,2027-03-29,y,5,y,
J08,7,2027-03-08,y,10,y,
J08,14,2027-03-15,n,0,y,
J08,21,2027-03-22,y,0,y,
J08,28,2027-03-29,y,0,y,
J09,7,2027-03-08,n,5,y,
J09,14,2027-03-15,y,5,y,
J09,21,2027-03-22,y,0,y,
J09,28,2027-03-29,y,0,y,
J10,7,2027-03-08,y,0,n,
J10,14,2027-03-15,y,0,n,
J10,21,2027-03-22,y,10,n,
J10,28,2027-03-29,n,5,n,
J11,7,2027-03-08,y,10,n,
J11,14,2027-03-15,n,0,n,
J11,21,2027-03-22,y,5,n,
J11,28,2027-03-29,y,0,n,
J12,7,2027-03-08,y,10,n,
J12,14,2027-03-15,y,0,n,
J12,21,2027-03-22,n,10,n,
J12,28,2027-03-29,y,10,n,
