jar_id,day,date,cells_per_g,method,notes
J01,0,2027-03-01,2054618,plate count,
J01,28,2027-03-29,2876958,plate count,
J02,0,2027-03-01,1619038,plate count,
J02,28,2027-03-29,3258955,plate count,
J03,0,2027-03-01,2112379,plate count,
J03,28,2027-03-29,3060092,plate count,
J04,0,2027-03-01,0,plate count,
J04,28,2027-03-29,0,plate count,
J05,0,2027-03-01,0,plate count,
J05,28,2027-03-29,0,plate count,
J06,0,2027-03-01,0,plate count,
J06,28,2027-03-29,0,plate count,
J07,0,2027-03-01,1678283,plate count,
J07,28,2027-03-29,12480394,plate count,
J08,0,2027-03-01,2411320,plate count,
J08,28,2027-03-29,8913658,plate count,
J09,0,2027-03-01,2004339,plate count,
J09,28,2027-03-29,8084454,plate count,
J10,0,2027-03-01,2336752,plate count,
J10,28,2027-03-29,2260723,plate count,
J11,0,2027-03-01,2166881,plate count,
J11,28,2027-03-29,1499042,plate count,
J12,0,2027-03-01,1731534,plate count,
J12,28,2027-03-29,2761362,plate count,
