# MarsWorm | V3 Earth microbes, no plumbing | Exp 1 | Does Azospira clean dirt, and not just water?
# Sheet: jars.csv | invented numbers, a dry run and not a result | scenario: dirt-cleans | every column is defined in the codebook for this experiment
jar_id,level,medium,microbe,hydrogen,bench_position,simulant_g,water_ml,perchlorate_mg,date_started
J01,A,dirt,yes,yes,2,200,60,54,2027-03-01
J02,A,dirt,yes,yes,8,200,60,54,2027-03-01
J03,A,dirt,yes,yes,11,200,60,54,2027-03-01
J04,B,dirt,no,yes,1,200,60,54,2027-03-01
J05,B,dirt,no,yes,7,200,60,54,2027-03-01
J06,B,dirt,no,yes,12,200,60,54,2027-03-01
J07,C,water,yes,yes,5,0,200,54,2027-03-01
J08,C,water,yes,yes,6,0,200,54,2027-03-01
J09,C,water,yes,yes,3,0,200,54,2027-03-01
J10,D,dirt,yes,no,9,200,60,54,2027-03-01
J11,D,dirt,yes,no,10,200,60,54,2027-03-01
J12,D,dirt,yes,no,4,200,60,54,2027-03-01
