# MarsWorm | V3 Earth microbes, no plumbing | Exp 1 | Does Azospira clean dirt, and not just water?
# Sheet: readings.csv | invented numbers, a dry run and not a result | scenario: dirt-cleans | every column is defined in the codebook for this experiment
jar_id,day,date,perchlorate_mg_per_l,chloride_mg_per_l,ph,notes
J01,0,2027-03-01,844.9,23.5,8.16,
J01,7,2027-03-08,610.3,106.6,8.14,
J01,14,2027-03-15,477.7,154.5,8.26,
J01,21,2027-03-22,337.9,203.6,8.04,
J01,28,2027-03-29,260.4,233.0,8.25,
J02,0,2027-03-01,949.4,1.8,8.13,
J02,7,2027-03-08,669.5,85.5,7.95,
J02,14,2027-03-15,432.2,170.2,8.1,
J02,21,2027-03-22,325.6,210.8,8.61,
J02,28,2027-03-29,252.1,234.5,7.9,
J03,0,2027-03-01,900.9,0.8,8.1,
J03,7,2027-03-08,678.9,83.5,8.01,
J03,14,2027-03-15,459.3,161.2,8.14,
J03,21,2027-03-22,338.3,202.6,7.98,
J03,28,2027-03-29,226.4,245.5,8.44,
J04,0,2027-03-01,872.3,12.9,8.13,
J04,7,2027-03-08,944.0,0.5,8.26,
J04,14,2027-03-15,872.6,10.9,8.15,
J04,21,2027-03-22,979.8,1.2,8.05,
J04,28,2027-03-29,923.2,1.6,8.03,
J05,0,2027-03-01,921.5,0.3,7.97,
J05,7,2027-03-08,916.4,0.1,8.31,
J05,14,2027-03-15,857.4,15.8,8.25,
J05,21,2027-03-22,827.4,26.7,7.95,
J05,28,2027-03-29,852.3,18.4,8.24,
J06,0,2027-03-01,881.4,6.8,8.13,
J06,7,2027-03-08,932.3,2.8,8.07,
J06,14,2027-03-15,896.3,3.7,8.38,
J06,21,2027-03-22,892.5,5.6,8.19,
J06,28,2027-03-29,929.4,2.2,8.15,
J07,0,2027-03-01,885.0,6.1,8.12,
J07,7,2027-03-08,473.1,154.2,8.24,
J07,14,2027-03-15,253.7,236.6,8.34,
J07,21,2027-03-22,143.4,274.7,7.91,
J07,28,2027-03-29,83.1,294.2,8.13,
J08,0,2027-03-01,950.4,2.9,8.19,
J08,7,2027-03-08,527.8,136.8,7.96,
J08,14,2027-03-15,280.4,224.5,7.78,
J08,21,2027-03-22,143.4,275.9,7.8,
J08,28,2027-03-29,76.0,300.1,8.23,
J09,0,2027-03-01,893.9,5.1,7.95,
J09,7,2027-03-08,471.7,157.5,8.02,
J09,14,2027-03-15,291.9,219.1,8.23,
J09,21,2027-03-22,142.8,273.5,8.0,
J09,28,2027-03-29,80.8,297.4,7.93,
J10,0,2027-03-01,947.9,1.0,8.03,
J10,7,2027-03-08,863.0,15.8,8.16,
J10,14,2027-03-15,906.6,0.8,7.86,
J10,21,2027-03-22,880.1,10.8,8.2,
J10,28,2027-03-29,870.3,12.1,8.18,
J11,0,2027-03-01,859.7,17.2,8.22,
J11,7,2027-03-08,873.0,12.2,7.82,
J11,14,2027-03-15,846.6,20.3,8.35,
J11,21,2027-03-22,822.0,29.2,7.96,
J11,28,2027-03-29,826.4,28.7,8.27,
J12,0,2027-03-01,916.2,2.1,8.15,
J12,7,2027-03-08,863.7,13.4,7.99,
J12,14,2027-03-15,908.4,1.0,8.36,
J12,21,2027-03-22,856.9,17.6,7.85,
J12,28,2027-03-29,894.7,5.0,8.12,
