# MarsWorm | V3 Earth microbes, no plumbing | Exp 2 | How much perchlorate can an earthworm stand?
# Sheet: boxes.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
box_id,level,perchlorate_ppm,bench_position,worms_in_g,date_started
B01,A,0,15,,
B02,A,0,13,,
B03,A,0,8,,
B04,B,50,18,,
B05,B,50,7,,
B06,B,50,1,,
B07,C,100,9,,
B08,C,100,4,,
B09,C,100,10,,
B10,D,250,5,,
B11,D,250,11,,
B12,D,250,12,,
B13,E,500,16,,
B14,E,500,14,,
B15,E,500,6,,
B16,F,1000,17,,
B17,F,1000,3,,
B18,F,1000,2,,
