# MarsWorm | V3 Earth microbes, no plumbing | Exp 2 | How much perchlorate can an earthworm stand?
# Sheet: care_log.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
box_id,day,date,damp_ok,water_added_ml,notes
B01,14,,,,
B01,28,,,,
B01,42,,,,
B01,56,,,,
B02,14,,,,
B02,28,,,,
B02,42,,,,
B02,56,,,,
B03,14,,,,
B03,28,,,,
B03,42,,,,
B03,56,,,,
B04,14,,,,
B04,28,,,,
B04,42,,,,
B04,56,,,,
B05,14,,,,
B05,28,,,,
B05,42,,,,
B05,56,,,,
B06,14,,,,
B06,28,,,,
B06,42,,,,
B06,56,,,,
B07,14,,,,
B07,28,,,,
B07,42,,,,
B07,56,,,,
B08,14,,,,
B08,28,,,,
B08,42,,,,
B08,56,,,,
B09,14,,,,
B09,28,,,,
B09,42,,,,
B09,56,,,,
B10,14,,,,
B10,28,,,,
B10,42,,,,
B10,56,,,,
B11,14,,,,
B11,28,,,,
B11,42,,,,
B11,56,,,,
B12,14,,,,
B12,28,,,,
B12,42,,,,
B12,56,,,,
B13,14,,,,
B13,28,,,,
B13,42,,,,
B13,56,,,,
B14,14,,,,
B14,28,,,,
B14,42,,,,
B14,56,,,,
B15,14,,,,
B15,28,,,,
B15,42,,,,
B15,56,,,,
B16,14,,,,
B16,28,,,,
B16,42,,,,
B16,56,,,,
B17,14,,,,
B17,28,,,,
B17,42,,,,
B17,56,,,,
B18,14,,,,
B18,28,,,,
B18,42,,,,
B18,56,,,,
