# MarsWorm | V3 Earth microbes, no plumbing | Exp 2 | How much perchlorate can an earthworm stand?
# Sheet: care_log.csv | invented numbers, a dry run and not a result | scenario: breeding-stops | every column is defined in the codebook for this experiment
box_id,day,date,damp_ok,water_added_ml,notes
B01,14,2027-02-15,y,0,
B01,28,2027-03-01,y,30,
B01,42,2027-03-15,y,0,
B01,56,2027-03-29,y,0,
B02,14,2027-02-15,y,20,
B02,28,2027-03-01,y,0,
B02,42,2027-03-15,y,0,
B02,56,2027-03-29,n,30,
B03,14,2027-02-15,y,20,
B03,28,2027-03-01,y,0,
B03,42,2027-03-15,y,0,
B03,56,2027-03-29,y,30,
B04,14,2027-02-15,n,20,
B04,28,2027-03-01,y,0,
B04,42,2027-03-15,n,0,
B04,56,2027-03-29,y,0,
B05,14,2027-02-15,y,20,
B05,28,2027-03-01,y,20,
B05,42,2027-03-15,n,30,
B05,56,2027-03-29,y,0,
B06,14,2027-02-15,n,0,
B06,28,2027-03-01,y,20,
B06,42,2027-03-15,n,20,
B06,56,2027-03-29,n,20,
B07,14,2027-02-15,y,30,
B07,28,2027-03-01,y,0,
B07,42,2027-03-15,y,0,
B07,56,2027-03-29,y,30,
B08,14,2027-02-15,n,0,
B08,28,2027-03-01,y,30,
B08,42,2027-03-15,n,20,
B08,56,2027-03-29,y,30,
B09,14,2027-02-15,y,30,
B09,28,2027-03-01,y,0,
B09,42,2027-03-15,y,0,
B09,56,2027-03-29,y,0,
B10,14,2027-02-15,y,30,
B10,28,2027-03-01,y,20,
B10,42,2027-03-15,y,0,
B10,56,2027-03-29,y,30,
B11,14,2027-02-15,y,0,
B11,28,2027-03-01,n,30,
B11,42,2027-03-15,n,30,
B11,56,2027-03-29,n,0,
B12,14,2027-02-15,n,0,
B12,28,2027-03-01,y,0,
B12,42,2027-03-15,y,30,
B12,56,2027-03-29,y,0,
B13,14,2027-02-15,y,0,
B13,28,2027-03-01,y,0,
B13,42,2027-03-15,y,0,
B13,56,2027-03-29,n,0,
B14,14,2027-02-15,y,20,
B14,28,2027-03-01,n,0,
B14,42,2027-03-15,y,30,
B14,56,2027-03-29,n,30,
B15,14,2027-02-15,y,20,
B15,28,2027-03-01,n,0,
B15,42,2027-03-15,y,0,
B15,56,2027-03-29,y,0,
B16,14,2027-02-15,y,20,
B16,28,2027-03-01,y,20,
B16,42,2027-03-15,y,0,
B16,56,2027-03-29,y,0,
B17,14,2027-02-15,y,0,
B17,28,2027-03-01,y,30,
B17,42,2027-03-15,y,0,
B17,56,2027-03-29,n,20,
B18,14,2027-02-15,y,20,
B18,28,2027-03-01,n,20,
B18,42,2027-03-15,y,20,
B18,56,2027-03-29,n,20,
