# MarsWorm | V3 Earth microbes, no plumbing | Exp 2 | How much perchlorate can an earthworm stand?
# Sheet: counts.csv | invented numbers, a dry run and not a result | scenario: breeding-stops | every column is defined in the codebook for this experiment
box_id,day,date,live_worms,egg_cases,hatchlings,notes
B01,14,2027-02-15,10,,,
B01,60,2027-04-02,10,24,12,
B02,14,2027-02-15,10,,,
B02,60,2027-04-02,10,25,6,
B03,14,2027-02-15,10,,,
B03,60,2027-04-02,10,26,12,
B04,14,2027-02-15,10,,,
B04,60,2027-04-02,10,20,9,
B05,14,2027-02-15,10,,,
B05,60,2027-04-02,10,25,12,
B06,14,2027-02-15,10,,,
B06,60,2027-04-02,10,22,11,
B07,14,2027-02-15,10,,,
B07,60,2027-04-02,10,22,6,
B08,14,2027-02-15,10,,,
B08,60,2027-04-02,10,19,6,
B09,14,2027-02-15,10,,,
B09,60,2027-04-02,10,20,6,
B10,14,2027-02-15,10,,,
B10,60,2027-04-02,10,7,3,
B11,14,2027-02-15,10,,,
B11,60,2027-04-02,10,6,2,
B12,14,2027-02-15,10,,,
B12,60,2027-04-02,10,8,3,
B13,14,2027-02-15,10,,,
B13,60,2027-04-02,10,2,0,
B14,14,2027-02-15,10,,,
B14,60,2027-04-02,10,3,1,
B15,14,2027-02-15,10,,,
B15,60,2027-04-02,10,1,0,
B16,14,2027-02-15,10,,,
B16,60,2027-04-02,9,0,0,
B17,14,2027-02-15,10,,,
B17,60,2027-04-02,9,0,0,
B18,14,2027-02-15,10,,,
B18,60,2027-04-02,8,0,0,
