# MarsWorm | V3 Earth microbes, no plumbing | Exp 3 | Does Xanthobacter grow in Martian dirt?
# Sheet: care_log.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
jar_id,day,date,damp_ok,water_added_ml,leak_suspected,notes
X01,7,,,,,
X01,14,,,,,
X01,21,,,,,
X01,28,,,,,
X01,35,,,,,
X02,7,,,,,
X02,14,,,,,
X02,21,,,,,
X02,28,,,,,
X02,35,,,,,
X03,7,,,,,
X03,14,,,,,
X03,21,,,,,
X03,28,,,,,
X03,35,,,,,
X04,7,,,,,
X04,14,,,,,
X04,21,,,,,
X04,28,,,,,
X04,35,,,,,
X05,7,,,,,
X05,14,,,,,
X05,21,,,,,
X05,28,,,,,
X05,35,,,,,
X06,7,,,,,
X06,14,,,,,
X06,21,,,,,
X06,28,,,,,
X06,35,,,,,
X07,7,,,,,
X07,14,,,,,
X07,21,,,,,
X07,28,,,,,
X07,35,,,,,
X08,7,,,,,
X08,14,,,,,
X08,21,,,,,
X08,28,,,,,
X08,35,,,,,
X09,7,,,,,
X09,14,,,,,
X09,21,,,,,
X09,28,,,,,
X09,35,,,,,
X10,7,,,,,
X10,14,,,,,
X10,21,,,,,
X10,28,,,,,
X10,35,,,,,
X11,7,,,,,
X11,14,,,,,
X11,21,,,,,
X11,28,,,,,
X11,35,,,,,
X12,7,,,,,
X12,14,,,,,
X12,21,,,,,
X12,28,,,,,
X12,35,,,,,
