jar_id,day,date,od600,ph,gas_reflushed,notes
X01,0,,,,,
X01,3,,,,,
X01,7,,,,,
X01,10,,,,,
X01,14,,,,,
X01,17,,,,,
X01,21,,,,,
X01,24,,,,,
X01,28,,,,,
X01,31,,,,,
X01,35,,,,,
X02,0,,,,,
X02,3,,,,,
X02,7,,,,,
X02,10,,,,,
X02,14,,,,,
X02,17,,,,,
X02,21,,,,,
X02,24,,,,,
X02,28,,,,,
X02,31,,,,,
X02,35,,,,,
X03,0,,,,,
X03,3,,,,,
X03,7,,,,,
X03,10,,,,,
X03,14,,,,,
X03,17,,,,,
X03,21,,,,,
X03,24,,,,,
X03,28,,,,,
X03,31,,,,,
X03,35,,,,,
X04,0,,,,,
X04,3,,,,,
X04,7,,,,,
X04,10,,,,,
X04,14,,,,,
X04,17,,,,,
X04,21,,,,,
X04,24,,,,,
X04,28,,,,,
X04,31,,,,,
X04,35,,,,,
X05,0,,,,,
X05,3,,,,,
X05,7,,,,,
X05,10,,,,,
X05,14,,,,,
X05,17,,,,,
X05,21,,,,,
X05,24,,,,,
X05,28,,,,,
X05,31,,,,,
X05,35,,,,,
X06,0,,,,,
X06,3,,,,,
X06,7,,,,,
X06,10,,,,,
X06,14,,,,,
X06,17,,,,,
X06,21,,,,,
X06,24,,,,,
X06,28,,,,,
X06,31,,,,,
X06,35,,,,,
X07,0,,,,,
X07,3,,,,,
X07,7,,,,,
X07,10,,,,,
X07,14,,,,,
X07,17,,,,,
X07,21,,,,,
X07,24,,,,,
X07,28,,,,,
X07,31,,,,,
X07,35,,,,,
X08,0,,,,,
X08,3,,,,,
X08,7,,,,,
X08,10,,,,,
X08,14,,,,,
X08,17,,,,,
X08,21,,,,,
X08,24,,,,,
X08,28,,,,,
X08,31,,,,,
X08,35,,,,,
X09,0,,,,,
X09,3,,,,,
X09,7,,,,,
X09,10,,,,,
X09,14,,,,,
X09,17,,,,,
X09,21,,,,,
X09,24,,,,,
X09,28,,,,,
X09,31,,,,,
X09,35,,,,,
X10,0,,,,,
X10,3,,,,,
X10,7,,,,,
X10,10,,,,,
X10,14,,,,,
X10,17,,,,,
X10,21,,,,,
X10,24,,,,,
X10,28,,,,,
X10,31,,,,,
X10,35,,,,,
X11,0,,,,,
X11,3,,,,,
X11,7,,,,,
X11,10,,,,,
X11,14,,,,,
X11,17,,,,,
X11,21,,,,,
X11,24,,,,,
X11,28,,,,,
X11,31,,,,,
X11,35,,,,,
X12,0,,,,,
X12,3,,,,,
X12,7,,,,,
X12,10,,,,,
X12,14,,,,,
X12,17,,,,,
X12,21,,,,,
X12,24,,,,,
X12,28,,,,,
X12,31,,,,,
X12,35,,,,,
