# MarsWorm | V3 Earth microbes, no plumbing | Exp 3 | Does Xanthobacter grow in Martian dirt?
# Sheet: nitrogen.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
jar_id,day,date,total_protein_mg_per_g,total_nitrogen_mg_per_g,method,notes
X01,0,,,,,
X01,35,,,,,
X02,0,,,,,
X02,35,,,,,
X03,0,,,,,
X03,35,,,,,
X04,0,,,,,
X04,35,,,,,
X05,0,,,,,
X05,35,,,,,
X06,0,,,,,
X06,35,,,,,
X07,0,,,,,
X07,35,,,,,
X08,0,,,,,
X08,35,,,,,
X09,0,,,,,
X09,35,,,,,
X10,0,,,,,
X10,35,,,,,
X11,0,,,,,
X11,35,,,,,
X12,0,,,,,
X12,35,,,,,
