jar_id,day,date,damp_ok,water_added_ml,leak_suspected,notes
X01,7,2027-04-08,y,2,n,
X01,14,2027-04-15,y,0,n,
X01,21,2027-04-22,n,5,n,
X01,28,2027-04-29,y,5,n,
X01,35,2027-05-06,y,0,n,
X02,7,2027-04-08,y,0,n,
X02,14,2027-04-15,n,5,n,
X02,21,2027-04-22,n,0,n,
X02,28,2027-04-29,n,0,n,
X02,35,2027-05-06,y,0,n,
X03,7,2027-04-08,y,0,n,
X03,14,2027-04-15,y,0,n,
X03,21,2027-04-22,y,0,n,
X03,28,2027-04-29,n,0,n,
X03,35,2027-05-06,n,2,n,
X04,7,2027-04-08,y,0,n,
X04,14,2027-04-15,y,5,n,
X04,21,2027-04-22,y,2,n,
X04,28,2027-04-29,n,0,n,
X04,35,2027-05-06,y,0,n,
X05,7,2027-04-08,y,0,n,
X05,14,2027-04-15,y,2,n,
X05,21,2027-04-22,n,5,n,
X05,28,2027-04-29,n,0,n,
X05,35,2027-05-06,y,2,n,
X06,7,2027-04-08,y,0,n,
X06,14,2027-04-15,y,0,n,
X06,21,2027-04-22,y,5,n,
X06,28,2027-04-29,y,0,n,
X06,35,2027-05-06,y,2,n,
X07,7,2027-04-08,y,2,n,
X07,14,2027-04-15,y,0,n,
X07,21,2027-04-22,y,2,n,
X07,28,2027-04-29,n,0,n,
X07,35,2027-05-06,n,5,n,
X08,7,2027-04-08,n,0,n,
X08,14,2027-04-15,y,0,n,
X08,21,2027-04-22,y,0,n,
X08,28,2027-04-29,y,5,n,
X08,35,2027-05-06,y,0,n,
X09,7,2027-04-08,y,0,n,
X09,14,2027-04-15,y,0,n,
X09,21,2027-04-22,y,0,n,
X09,28,2027-04-29,y,5,n,
X09,35,2027-05-06,y,5,n,
X10,7,2027-04-08,y,0,n,
X10,14,2027-04-15,y,0,n,
X10,21,2027-04-22,y,0,n,
X10,28,2027-04-29,y,2,n,
X10,35,2027-05-06,y,5,n,
X11,7,2027-04-08,y,0,n,
X11,14,2027-04-15,y,5,n,
X11,21,2027-04-22,y,5,n,
X11,28,2027-04-29,y,0,n,
X11,35,2027-05-06,y,2,n,
X12,7,2027-04-08,n,2,n,
X12,14,2027-04-15,y,0,n,
X12,21,2027-04-22,y,5,n,
X12,28,2027-04-29,y,0,n,
X12,35,2027-05-06,y,5,n,
