# MarsWorm | V3 Earth microbes, no plumbing | Exp 3 | Does Xanthobacter grow in Martian dirt?
# Sheet: growth.csv | invented numbers, a dry run and not a result | scenario: grows-in-regolith | every column is defined in the codebook for this experiment
jar_id,day,date,od600,ph,gas_reflushed,notes
X01,0,2027-04-01,0.03,8.48,y,
X01,3,2027-04-04,0.112,8.09,y,
X01,7,2027-04-08,0.205,8.38,y,
X01,10,2027-04-11,0.252,8.37,y,
X01,14,2027-04-15,0.285,8.24,y,
X01,17,2027-04-18,0.293,8.28,y,
X01,21,2027-04-22,0.322,8.42,y,
X01,24,2027-04-25,0.356,8.16,y,
X01,28,2027-04-29,0.369,8.31,y,
X01,31,2027-05-02,0.385,8.49,y,
X01,35,2027-05-06,0.376,8.1,y,
X02,0,2027-04-01,0.027,8.21,y,
X02,3,2027-04-04,0.127,8.24,y,
X02,7,2027-04-08,0.193,8.14,y,
X02,10,2027-04-11,0.252,8.43,y,
X02,14,2027-04-15,0.284,8.28,y,
X02,17,2027-04-18,0.281,8.28,y,
X02,21,2027-04-22,0.342,8.23,y,
X02,24,2027-04-25,0.357,8.29,y,
X02,28,2027-04-29,0.369,8.42,y,
X02,31,2027-05-02,0.334,8.15,y,
X02,35,2027-05-06,0.35,8.44,y,
X03,0,2027-04-01,0.027,8.3,y,
X03,3,2027-04-04,0.112,8.33,y,
X03,7,2027-04-08,0.199,8.11,y,
X03,10,2027-04-11,0.245,8.5,y,
X03,14,2027-04-15,0.268,8.45,y,
X03,17,2027-04-18,0.29,8.19,y,
X03,21,2027-04-22,0.301,8.08,y,
X03,24,2027-04-25,0.334,8.22,y,
X03,28,2027-04-29,0.301,8.31,y,
X03,31,2027-05-02,0.392,8.35,y,
X03,35,2027-05-06,0.392,8.34,y,
X04,0,2027-04-01,0.029,6.91,y,
X04,3,2027-04-04,0.501,7.07,y,
X04,7,2027-04-08,0.892,6.78,y,
X04,10,2027-04-11,1.044,6.83,y,
X04,14,2027-04-15,0.987,7.14,y,
X04,17,2027-04-18,1.021,7.02,y,
X04,21,2027-04-22,1.053,6.97,y,
X04,24,2027-04-25,1.114,6.86,y,
X04,28,2027-04-29,1.044,7.04,y,
X04,31,2027-05-02,1.031,7.06,y,
X04,35,2027-05-06,1.21,6.86,y,
X05,0,2027-04-01,0.028,6.93,y,
X05,3,2027-04-04,0.512,6.9,y,
X05,7,2027-04-08,0.828,7.12,y,
X05,10,2027-04-11,0.982,7.02,y,
X05,14,2027-04-15,1.124,6.92,y,
X05,17,2027-04-18,1.027,7.12,y,
X05,21,2027-04-22,1.144,6.99,y,
X05,24,2027-04-25,1.16,7.06,y,
X05,28,2027-04-29,1.119,6.98,y,
X05,31,2027-05-02,1.147,7.04,y,
X05,35,2027-05-06,1.116,7.09,y,
X06,0,2027-04-01,0.029,7.15,y,
X06,3,2027-04-04,0.587,6.89,y,
X06,7,2027-04-08,0.968,6.94,y,
X06,10,2027-04-11,0.954,7.09,y,
X06,14,2027-04-15,1.033,7.05,y,
X06,17,2027-04-18,1.024,6.89,y,
X06,21,2027-04-22,1.079,6.88,y,
X06,24,2027-04-25,1.187,7.04,y,
X06,28,2027-04-29,1.195,6.86,y,
X06,31,2027-05-02,0.926,6.73,y,
X06,35,2027-05-06,1.058,6.85,y,
X07,0,2027-04-01,0.031,8.32,y,
X07,3,2027-04-04,0.198,8.34,y,
X07,7,2027-04-08,0.331,8.42,y,
X07,10,2027-04-11,0.432,7.94,y,
X07,14,2027-04-15,0.427,8.18,y,
X07,17,2027-04-18,0.398,8.14,y,
X07,21,2027-04-22,0.454,8.2,y,
X07,24,2027-04-25,0.471,8.24,y,
X07,28,2027-04-29,0.438,8.67,y,
X07,31,2027-05-02,0.456,8.32,y,
X07,35,2027-05-06,0.493,8.17,y,
X08,0,2027-04-01,0.03,8.29,y,
X08,3,2027-04-04,0.192,8.42,y,
X08,7,2027-04-08,0.29,8.34,y,
X08,10,2027-04-11,0.388,8.22,y,
X08,14,2027-04-15,0.418,8.27,y,
X08,17,2027-04-18,0.436,8.33,y,
X08,21,2027-04-22,0.442,8.43,y,
X08,24,2027-04-25,0.496,8.21,y,
X08,28,2027-04-29,0.543,8.15,y,
X08,31,2027-05-02,0.483,8.34,y,
X08,35,2027-05-06,0.465,8.29,y,
X09,0,2027-04-01,0.027,8.31,y,
X09,3,2027-04-04,0.179,8.45,y,
X09,7,2027-04-08,0.328,8.31,y,
X09,10,2027-04-11,0.366,8.19,y,
X09,14,2027-04-15,0.417,8.34,y,
X09,17,2027-04-18,0.43,8.18,y,
X09,21,2027-04-22,0.505,8.2,y,
X09,24,2027-04-25,0.529,8.46,y,
X09,28,2027-04-29,0.534,8.21,y,
X09,31,2027-05-02,0.507,8.14,y,
X09,35,2027-05-06,0.476,8.12,y,
X10,0,2027-04-01,0.038,8.16,y,
X10,3,2027-04-04,0.037,8.35,y,
X10,7,2027-04-08,0.034,8.52,y,
X10,10,2027-04-11,0.044,8.2,y,
X10,14,2027-04-15,0.039,8.25,y,
X10,17,2027-04-18,0.042,8.33,y,
X10,21,2027-04-22,0.044,8.12,y,
X10,24,2027-04-25,0.036,8.39,y,
X10,28,2027-04-29,0.038,8.32,y,
X10,31,2027-05-02,0.039,8.27,y,
X10,35,2027-05-06,0.035,8.05,y,
X11,0,2027-04-01,0.044,8.26,y,
X11,3,2027-04-04,0.044,8.61,y,
X11,7,2027-04-08,0.042,8.33,y,
X11,10,2027-04-11,0.041,8.33,y,
X11,14,2027-04-15,0.037,8.35,y,
X11,17,2027-04-18,0.04,8.32,y,
X11,21,2027-04-22,0.039,8.26,y,
X11,24,2027-04-25,0.041,8.45,y,
X11,28,2027-04-29,0.045,8.18,y,
X11,31,2027-05-02,0.038,8.12,y,
X11,35,2027-05-06,0.043,8.08,y,
X12,0,2027-04-01,0.041,8.37,y,
X12,3,2027-04-04,0.033,8.21,y,
X12,7,2027-04-08,0.042,8.3,y,
X12,10,2027-04-11,0.037,8.33,y,
X12,14,2027-04-15,0.038,8.36,y,
X12,17,2027-04-18,0.041,8.3,y,
X12,21,2027-04-22,0.037,8.47,y,
X12,24,2027-04-25,0.04,8.41,y,
X12,28,2027-04-29,0.043,8.27,y,
X12,31,2027-05-02,0.039,8.42,y,
X12,35,2027-05-06,0.036,8.39,y,
