# MarsWorm | V3 Earth microbes, no plumbing | Exp 3 | Does Xanthobacter grow in Martian dirt?
# Sheet: nitrogen.csv | invented numbers, a dry run and not a result | scenario: grows-in-regolith | every column is defined in the codebook for this experiment
jar_id,day,date,total_protein_mg_per_g,total_nitrogen_mg_per_g,method,notes
X01,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X01,35,2027-05-06,3.81,0.61,"Bradford, then Kjeldahl",
X02,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X02,35,2027-05-06,3.08,0.493,"Bradford, then Kjeldahl",
X03,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X03,35,2027-05-06,3.26,0.522,"Bradford, then Kjeldahl",
X04,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X04,35,2027-05-06,10.96,1.753,"Bradford, then Kjeldahl",
X05,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X05,35,2027-05-06,9.11,1.458,"Bradford, then Kjeldahl",
X06,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X06,35,2027-05-06,10.3,1.647,"Bradford, then Kjeldahl",
X07,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X07,35,2027-05-06,4.73,0.756,"Bradford, then Kjeldahl",
X08,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X08,35,2027-05-06,3.85,0.616,"Bradford, then Kjeldahl",
X09,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X09,35,2027-05-06,4.26,0.682,"Bradford, then Kjeldahl",
X10,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X10,35,2027-05-06,0.42,0.068,"Bradford, then Kjeldahl",
X11,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X11,35,2027-05-06,0.42,0.067,"Bradford, then Kjeldahl",
X12,0,2027-04-01,0.4,0.064,"Bradford, then Kjeldahl",
X12,35,2027-05-06,0.49,0.078,"Bradford, then Kjeldahl",
