# MarsWorm | V3 Earth microbes, no plumbing | Exp 4 | Does the added gene blow the chlorine off?
# Sheet: cells.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
flask_id,day,date,od600,notes
F01,0,,,
F01,7,,,
F01,14,,,
F01,21,,,
F01,28,,,
F01,35,,,
F01,42,,,
F02,0,,,
F02,7,,,
F02,14,,,
F02,21,,,
F02,28,,,
F02,35,,,
F02,42,,,
F03,0,,,
F03,7,,,
F03,14,,,
F03,21,,,
F03,28,,,
F03,35,,,
F03,42,,,
F04,0,,,
F04,7,,,
F04,14,,,
F04,21,,,
F04,28,,,
F04,35,,,
F04,42,,,
F05,0,,,
F05,7,,,
F05,14,,,
F05,21,,,
F05,28,,,
F05,35,,,
F05,42,,,
F06,0,,,
F06,7,,,
F06,14,,,
F06,21,,,
F06,28,,,
F06,35,,,
F06,42,,,
F07,0,,,
F07,7,,,
F07,14,,,
F07,21,,,
F07,28,,,
F07,35,,,
F07,42,,,
F08,0,,,
F08,7,,,
F08,14,,,
F08,21,,,
F08,28,,,
F08,35,,,
F08,42,,,
