flask_id,day,date,methyl_chloride_ppmv,gc_run_id,reflushed,notes
F01,0,,,,,
F01,3,,,,,
F01,7,,,,,
F01,10,,,,,
F01,14,,,,,
F01,17,,,,,
F01,21,,,,,
F01,28,,,,,
F01,35,,,,,
F01,42,,,,,
F02,0,,,,,
F02,3,,,,,
F02,7,,,,,
F02,10,,,,,
F02,14,,,,,
F02,17,,,,,
F02,21,,,,,
F02,28,,,,,
F02,35,,,,,
F02,42,,,,,
F03,0,,,,,
F03,3,,,,,
F03,7,,,,,
F03,10,,,,,
F03,14,,,,,
F03,17,,,,,
F03,21,,,,,
F03,28,,,,,
F03,35,,,,,
F03,42,,,,,
F04,0,,,,,
F04,3,,,,,
F04,7,,,,,
F04,10,,,,,
F04,14,,,,,
F04,17,,,,,
F04,21,,,,,
F04,28,,,,,
F04,35,,,,,
F04,42,,,,,
F05,0,,,,,
F05,3,,,,,
F05,7,,,,,
F05,10,,,,,
F05,14,,,,,
F05,17,,,,,
F05,21,,,,,
F05,28,,,,,
F05,35,,,,,
F05,42,,,,,
F06,0,,,,,
F06,3,,,,,
F06,7,,,,,
F06,10,,,,,
F06,14,,,,,
F06,17,,,,,
F06,21,,,,,
F06,28,,,,,
F06,35,,,,,
F06,42,,,,,
F07,0,,,,,
F07,3,,,,,
F07,7,,,,,
F07,10,,,,,
F07,14,,,,,
F07,17,,,,,
F07,21,,,,,
F07,28,,,,,
F07,35,,,,,
F07,42,,,,,
F08,0,,,,,
F08,3,,,,,
F08,7,,,,,
F08,10,,,,,
F08,14,,,,,
F08,17,,,,,
F08,21,,,,,
F08,28,,,,,
F08,35,,,,,
F08,42,,,,,
