# MarsWorm | V3 Earth microbes, no plumbing | Exp 4 | Does the added gene blow the chlorine off?
# Sheet: cells.csv | invented numbers, a dry run and not a result | scenario: gas-comes-off | every column is defined in the codebook for this experiment
flask_id,day,date,od600,notes
F01,0,2027-06-01,0.046,
F01,7,2027-06-08,0.438,
F01,14,2027-06-15,0.559,
F01,21,2027-06-22,0.564,
F01,28,2027-06-29,0.667,
F01,35,2027-07-06,0.661,
F01,42,2027-07-13,0.63,
F02,0,2027-06-01,0.052,
F02,7,2027-06-08,0.389,
F02,14,2027-06-15,0.548,
F02,21,2027-06-22,0.657,
F02,28,2027-06-29,0.573,
F02,35,2027-07-06,0.647,
F02,42,2027-07-13,0.61,
F03,0,2027-06-01,0.053,
F03,7,2027-06-08,0.503,
F03,14,2027-06-15,0.666,
F03,21,2027-06-22,0.75,
F03,28,2027-06-29,0.773,
F03,35,2027-07-06,0.798,
F03,42,2027-07-13,0.746,
F04,0,2027-06-01,0.048,
F04,7,2027-06-08,0.512,
F04,14,2027-06-15,0.715,
F04,21,2027-06-22,0.732,
F04,28,2027-06-29,0.731,
F04,35,2027-07-06,0.74,
F04,42,2027-07-13,0.817,
F05,0,2027-06-01,0.055,
F05,7,2027-06-08,0.431,
F05,14,2027-06-15,0.569,
F05,21,2027-06-22,0.632,
F05,28,2027-06-29,0.659,
F05,35,2027-07-06,0.607,
F05,42,2027-07-13,0.648,
F06,0,2027-06-01,0.047,
F06,7,2027-06-08,0.406,
F06,14,2027-06-15,0.553,
F06,21,2027-06-22,0.579,
F06,28,2027-06-29,0.643,
F06,35,2027-07-06,0.592,
F06,42,2027-07-13,0.666,
F07,0,2027-06-01,0.022,
F07,7,2027-06-08,0.023,
F07,14,2027-06-15,0.016,
F07,21,2027-06-22,0.018,
F07,28,2027-06-29,0.024,
F07,35,2027-07-06,0.022,
F07,42,2027-07-13,0.015,
F08,0,2027-06-01,0.021,
F08,7,2027-06-08,0.023,
F08,14,2027-06-15,0.02,
F08,21,2027-06-22,0.019,
F08,28,2027-06-29,0.023,
F08,35,2027-07-06,0.021,
F08,42,2027-07-13,0.016,
