flask_id,day,date,chloride_mg_per_l,method,notes
F01,0,2027-06-01,1160.7,ion selective electrode,
F01,3,2027-06-04,1134.3,ion selective electrode,
F01,7,2027-06-08,1143.5,ion selective electrode,
F01,10,2027-06-11,1036.4,ion selective electrode,
F01,14,2027-06-15,999.3,ion selective electrode,
F01,17,2027-06-18,979.7,ion selective electrode,
F01,21,2027-06-22,929.3,ion selective electrode,
F01,28,2027-06-29,943.4,ion selective electrode,
F01,35,2027-07-06,890.9,ion selective electrode,
F01,42,2027-07-13,894.9,ion selective electrode,
F02,0,2027-06-01,1188.5,ion selective electrode,
F02,3,2027-06-04,1176.2,ion selective electrode,
F02,7,2027-06-08,1088.1,ion selective electrode,
F02,10,2027-06-11,1058.6,ion selective electrode,
F02,14,2027-06-15,951.6,ion selective electrode,
F02,17,2027-06-18,979.6,ion selective electrode,
F02,21,2027-06-22,914.6,ion selective electrode,
F02,28,2027-06-29,908.9,ion selective electrode,
F02,35,2027-07-06,860.1,ion selective electrode,
F02,42,2027-07-13,887.0,ion selective electrode,
F03,0,2027-06-01,1203.9,ion selective electrode,
F03,3,2027-06-04,1225.6,ion selective electrode,
F03,7,2027-06-08,1213.1,ion selective electrode,
F03,10,2027-06-11,1224.8,ion selective electrode,
F03,14,2027-06-15,1172.3,ion selective electrode,
F03,17,2027-06-18,1235.7,ion selective electrode,
F03,21,2027-06-22,1204.8,ion selective electrode,
F03,28,2027-06-29,1161.4,ion selective electrode,
F03,35,2027-07-06,1205.5,ion selective electrode,
F03,42,2027-07-13,1198.7,ion selective electrode,
F04,0,2027-06-01,1162.6,ion selective electrode,
F04,3,2027-06-04,1196.2,ion selective electrode,
F04,7,2027-06-08,1178.9,ion selective electrode,
F04,10,2027-06-11,1224.6,ion selective electrode,
F04,14,2027-06-15,1164.8,ion selective electrode,
F04,17,2027-06-18,1229.3,ion selective electrode,
F04,21,2027-06-22,1146.5,ion selective electrode,
F04,28,2027-06-29,1207.3,ion selective electrode,
F04,35,2027-07-06,1240.0,ion selective electrode,
F04,42,2027-07-13,1190.2,ion selective electrode,
F05,0,2027-06-01,0.0,ion selective electrode,
F05,3,2027-06-04,0.0,ion selective electrode,
F05,7,2027-06-08,0.0,ion selective electrode,
F05,10,2027-06-11,0.0,ion selective electrode,
F05,14,2027-06-15,0.0,ion selective electrode,
F05,17,2027-06-18,0.0,ion selective electrode,
F05,21,2027-06-22,0.0,ion selective electrode,
F05,28,2027-06-29,0.0,ion selective electrode,
F05,35,2027-07-06,0.0,ion selective electrode,
F05,42,2027-07-13,0.0,ion selective electrode,
F06,0,2027-06-01,0.0,ion selective electrode,
F06,3,2027-06-04,0.0,ion selective electrode,
F06,7,2027-06-08,0.0,ion selective electrode,
F06,10,2027-06-11,0.0,ion selective electrode,
F06,14,2027-06-15,0.0,ion selective electrode,
F06,17,2027-06-18,0.0,ion selective electrode,
F06,21,2027-06-22,0.0,ion selective electrode,
F06,28,2027-06-29,0.0,ion selective electrode,
F06,35,2027-07-06,0.0,ion selective electrode,
F06,42,2027-07-13,0.0,ion selective electrode,
F07,0,2027-06-01,1215.5,ion selective electrode,
F07,3,2027-06-04,1268.0,ion selective electrode,
F07,7,2027-06-08,1242.2,ion selective electrode,
F07,10,2027-06-11,1231.8,ion selective electrode,
F07,14,2027-06-15,1186.8,ion selective electrode,
F07,17,2027-06-18,1195.4,ion selective electrode,
F07,21,2027-06-22,1196.0,ion selective electrode,
F07,28,2027-06-29,1168.6,ion selective electrode,
F07,35,2027-07-06,1240.5,ion selective electrode,
F07,42,2027-07-13,1182.7,ion selective electrode,
F08,0,2027-06-01,1173.4,ion selective electrode,
F08,3,2027-06-04,1191.4,ion selective electrode,
F08,7,2027-06-08,1167.6,ion selective electrode,
F08,10,2027-06-11,1204.9,ion selective electrode,
F08,14,2027-06-15,1189.0,ion selective electrode,
F08,17,2027-06-18,1203.6,ion selective electrode,
F08,21,2027-06-22,1203.3,ion selective electrode,
F08,28,2027-06-29,1221.3,ion selective electrode,
F08,35,2027-07-06,1139.8,ion selective electrode,
F08,42,2027-07-13,1170.8,ion selective electrode,
