flask_id,day,date,methyl_chloride_ppmv,gc_run_id,reflushed,notes
F01,0,2027-06-01,0.0,GC000,y,
F01,3,2027-06-04,38.23,GC003,y,
F01,7,2027-06-08,67.38,GC007,y,
F01,10,2027-06-11,109.56,GC010,y,
F01,14,2027-06-15,135.91,GC014,y,
F01,17,2027-06-18,146.83,GC017,y,
F01,21,2027-06-22,175.78,GC021,y,
F01,28,2027-06-29,177.09,GC028,y,
F01,35,2027-07-06,196.58,GC035,y,
F01,42,2027-07-13,206.92,GC042,y,
F02,0,2027-06-01,0.0,GC000,y,
F02,3,2027-06-04,39.88,GC003,y,
F02,7,2027-06-08,79.09,GC007,y,
F02,10,2027-06-11,89.45,GC010,y,
F02,14,2027-06-15,150.2,GC014,y,
F02,17,2027-06-18,129.6,GC017,y,
F02,21,2027-06-22,171.17,GC021,y,
F02,28,2027-06-29,179.32,GC028,y,
F02,35,2027-07-06,193.01,GC035,y,
F02,42,2027-07-13,206.2,GC042,y,
F03,0,2027-06-01,0.05,GC000,y,
F03,3,2027-06-04,0.09,GC003,y,
F03,7,2027-06-08,0.06,GC007,y,
F03,10,2027-06-11,0.08,GC010,y,
F03,14,2027-06-15,0.13,GC014,y,
F03,17,2027-06-18,0.13,GC017,y,
F03,21,2027-06-22,0.24,GC021,y,
F03,28,2027-06-29,0.22,GC028,y,
F03,35,2027-07-06,0.36,GC035,y,
F03,42,2027-07-13,0.28,GC042,y,
F04,0,2027-06-01,0.01,GC000,y,
F04,3,2027-06-04,0.0,GC003,y,
F04,7,2027-06-08,0.05,GC007,y,
F04,10,2027-06-11,0.03,GC010,y,
F04,14,2027-06-15,0.14,GC014,y,
F04,17,2027-06-18,0.04,GC017,y,
F04,21,2027-06-22,0.16,GC021,y,
F04,28,2027-06-29,0.17,GC028,y,
F04,35,2027-07-06,0.42,GC035,y,
F04,42,2027-07-13,0.45,GC042,y,
F05,0,2027-06-01,0.0,GC000,y,
F05,3,2027-06-04,0.1,GC003,y,
F05,7,2027-06-08,0.0,GC007,y,
F05,10,2027-06-11,0.0,GC010,y,
F05,14,2027-06-15,0.0,GC014,y,
F05,17,2027-06-18,0.0,GC017,y,
F05,21,2027-06-22,0.0,GC021,y,
F05,28,2027-06-29,0.06,GC028,y,
F05,35,2027-07-06,0.0,GC035,y,
F05,42,2027-07-13,0.02,GC042,y,
F06,0,2027-06-01,0.0,GC000,y,
F06,3,2027-06-04,0.0,GC003,y,
F06,7,2027-06-08,0.01,GC007,y,
F06,10,2027-06-11,0.0,GC010,y,
F06,14,2027-06-15,0.04,GC014,y,
F06,17,2027-06-18,0.0,GC017,y,
F06,21,2027-06-22,0.03,GC021,y,
F06,28,2027-06-29,0.02,GC028,y,
F06,35,2027-07-06,0.0,GC035,y,
F06,42,2027-07-13,0.0,GC042,y,
F07,0,2027-06-01,0.0,GC000,y,
F07,3,2027-06-04,0.0,GC003,y,
F07,7,2027-06-08,0.0,GC007,y,
F07,10,2027-06-11,0.04,GC010,y,
F07,14,2027-06-15,0.0,GC014,y,
F07,17,2027-06-18,0.0,GC017,y,
F07,21,2027-06-22,0.0,GC021,y,
F07,28,2027-06-29,0.0,GC028,y,
F07,35,2027-07-06,0.0,GC035,y,
F07,42,2027-07-13,0.02,GC042,y,
F08,0,2027-06-01,0.0,GC000,y,
F08,3,2027-06-04,0.07,GC003,y,
F08,7,2027-06-08,0.0,GC007,y,
F08,10,2027-06-11,0.09,GC010,y,
F08,14,2027-06-15,0.05,GC014,y,
F08,17,2027-06-18,0.06,GC017,y,
F08,21,2027-06-22,0.0,GC021,y,
F08,28,2027-06-29,0.02,GC028,y,
F08,35,2027-07-06,0.04,GC035,y,
F08,42,2027-07-13,0.01,GC042,y,
