# MarsWorm | V4 The bioengineered plant | Exp 1 | Is the plant poisoning itself?
# Sheet: growth.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
pot_id,day,date,leaf_area_cm2,leaves_green,notes
P01,0,,,,
P01,7,,,,
P01,14,,,,
P01,21,,,,
P01,28,,,,
P02,0,,,,
P02,7,,,,
P02,14,,,,
P02,21,,,,
P02,28,,,,
P03,0,,,,
P03,7,,,,
P03,14,,,,
P03,21,,,,
P03,28,,,,
P04,0,,,,
P04,7,,,,
P04,14,,,,
P04,21,,,,
P04,28,,,,
P05,0,,,,
P05,7,,,,
P05,14,,,,
P05,21,,,,
P05,28,,,,
P06,0,,,,
P06,7,,,,
P06,14,,,,
P06,21,,,,
P06,28,,,,
P07,0,,,,
P07,7,,,,
P07,14,,,,
P07,21,,,,
P07,28,,,,
P08,0,,,,
P08,7,,,,
P08,14,,,,
P08,21,,,,
P08,28,,,,
P09,0,,,,
P09,7,,,,
P09,14,,,,
P09,21,,,,
P09,28,,,,
P10,0,,,,
P10,7,,,,
P10,14,,,,
P10,21,,,,
P10,28,,,,
P11,0,,,,
P11,7,,,,
P11,14,,,,
P11,21,,,,
P11,28,,,,
P12,0,,,,
P12,7,,,,
P12,14,,,,
P12,21,,,,
P12,28,,,,
P13,0,,,,
P13,7,,,,
P13,14,,,,
P13,21,,,,
P13,28,,,,
P14,0,,,,
P14,7,,,,
P14,14,,,,
P14,21,,,,
P14,28,,,,
P15,0,,,,
P15,7,,,,
P15,14,,,,
P15,21,,,,
P15,28,,,,
P16,0,,,,
P16,7,,,,
P16,14,,,,
P16,21,,,,
P16,28,,,,
