# MarsWorm | V4 The bioengineered plant | Exp 1 | Is the plant poisoning itself?
# Sheet: care_log.csv | invented numbers, a dry run and not a result | scenario: ammonium-rescues | every column is defined in the codebook for this experiment
pot_id,day,date,damp_ok,water_added_ml,light_hours,notes
P01,7,2027-05-10,y,10,16,
P01,14,2027-05-17,y,20,16,
P01,21,2027-05-24,y,20,16,
P01,28,2027-05-31,y,20,16,
P02,7,2027-05-10,y,10,16,
P02,14,2027-05-17,y,15,16,
P02,21,2027-05-24,y,10,16,
P02,28,2027-05-31,y,10,16,
P03,7,2027-05-10,y,20,16,
P03,14,2027-05-17,y,15,16,
P03,21,2027-05-24,y,10,16,
P03,28,2027-05-31,y,10,16,
P04,7,2027-05-10,y,15,16,
P04,14,2027-05-17,y,15,16,
P04,21,2027-05-24,y,10,16,
P04,28,2027-05-31,n,15,16,
P05,7,2027-05-10,y,10,16,
P05,14,2027-05-17,y,15,16,
P05,21,2027-05-24,y,10,16,
P05,28,2027-05-31,y,20,16,
P06,7,2027-05-10,y,20,16,
P06,14,2027-05-17,y,10,16,
P06,21,2027-05-24,y,15,16,
P06,28,2027-05-31,y,20,16,
P07,7,2027-05-10,y,15,16,
P07,14,2027-05-17,y,10,16,
P07,21,2027-05-24,y,20,16,
P07,28,2027-05-31,y,15,16,
P08,7,2027-05-10,y,10,16,
P08,14,2027-05-17,y,10,16,
P08,21,2027-05-24,y,10,16,
P08,28,2027-05-31,n,15,16,
P09,7,2027-05-10,y,20,16,
P09,14,2027-05-17,n,15,16,
P09,21,2027-05-24,y,15,16,
P09,28,2027-05-31,n,15,16,
P10,7,2027-05-10,y,15,16,
P10,14,2027-05-17,y,15,16,
P10,21,2027-05-24,y,15,16,
P10,28,2027-05-31,y,10,16,
P11,7,2027-05-10,y,20,16,
P11,14,2027-05-17,y,15,16,
P11,21,2027-05-24,y,10,16,
P11,28,2027-05-31,y,20,16,
P12,7,2027-05-10,y,10,16,
P12,14,2027-05-17,y,15,16,
P12,21,2027-05-24,y,15,16,
P12,28,2027-05-31,y,20,16,
P13,7,2027-05-10,y,15,16,
P13,14,2027-05-17,y,10,16,
P13,21,2027-05-24,y,15,16,
P13,28,2027-05-31,y,10,16,
P14,7,2027-05-10,y,20,16,
P14,14,2027-05-17,y,10,16,
P14,21,2027-05-24,y,15,16,
P14,28,2027-05-31,y,15,16,
P15,7,2027-05-10,y,15,16,
P15,14,2027-05-17,y,20,16,
P15,21,2027-05-24,y,10,16,
P15,28,2027-05-31,y,15,16,
P16,7,2027-05-10,y,20,16,
P16,14,2027-05-17,y,10,16,
P16,21,2027-05-24,y,15,16,
P16,28,2027-05-31,y,10,16,
