# MarsWorm | V4 The bioengineered plant | Exp 1 | Is the plant poisoning itself?
# Sheet: growth.csv | invented numbers, a dry run and not a result | scenario: ammonium-rescues | every column is defined in the codebook for this experiment
pot_id,day,date,leaf_area_cm2,leaves_green,notes
P01,0,2027-05-03,0.4,1,
P01,7,2027-05-10,2.8,1,
P01,14,2027-05-17,5.4,1,
P01,21,2027-05-24,6.7,1,
P01,28,2027-05-31,7.3,1,
P02,0,2027-05-03,0.5,1,
P02,7,2027-05-10,2.7,1,
P02,14,2027-05-17,5.2,1,
P02,21,2027-05-24,7.3,1,
P02,28,2027-05-31,9.5,1,
P03,0,2027-05-03,0.5,1,
P03,7,2027-05-10,2.8,1,
P03,14,2027-05-17,4.8,1,
P03,21,2027-05-24,7.0,1,
P03,28,2027-05-31,9.5,1,
P04,0,2027-05-03,0.5,1,
P04,7,2027-05-10,3.0,1,
P04,14,2027-05-17,4.9,1,
P04,21,2027-05-24,7.4,1,
P04,28,2027-05-31,9.8,1,
P05,0,2027-05-03,0.6,3,
P05,7,2027-05-10,15.6,3,
P05,14,2027-05-17,31.7,3,
P05,21,2027-05-24,45.3,3,
P05,28,2027-05-31,56.2,3,
P06,0,2027-05-03,0.6,3,
P06,7,2027-05-10,16.9,3,
P06,14,2027-05-17,28.2,3,
P06,21,2027-05-24,47.1,3,
P06,28,2027-05-31,56.5,3,
P07,0,2027-05-03,0.5,3,
P07,7,2027-05-10,16.1,3,
P07,14,2027-05-17,31.1,3,
P07,21,2027-05-24,48.8,3,
P07,28,2027-05-31,65.0,3,
P08,0,2027-05-03,0.5,3,
P08,7,2027-05-10,16.6,3,
P08,14,2027-05-17,27.0,3,
P08,21,2027-05-24,53.3,3,
P08,28,2027-05-31,63.1,3,
P09,0,2027-05-03,0.5,3,
P09,7,2027-05-10,12.5,3,
P09,14,2027-05-17,21.5,3,
P09,21,2027-05-24,44.0,3,
P09,28,2027-05-31,47.1,3,
P10,0,2027-05-03,0.5,3,
P10,7,2027-05-10,14.1,3,
P10,14,2027-05-17,26.3,3,
P10,21,2027-05-24,37.8,3,
P10,28,2027-05-31,56.1,3,
P11,0,2027-05-03,0.6,3,
P11,7,2027-05-10,15.2,3,
P11,14,2027-05-17,29.4,3,
P11,21,2027-05-24,41.7,3,
P11,28,2027-05-31,57.0,3,
P12,0,2027-05-03,0.5,3,
P12,7,2027-05-10,12.7,3,
P12,14,2027-05-17,28.7,3,
P12,21,2027-05-24,40.6,3,
P12,28,2027-05-31,55.4,3,
P13,0,2027-05-03,0.5,2,
P13,7,2027-05-10,8.0,2,
P13,14,2027-05-17,16.3,2,
P13,21,2027-05-24,23.9,2,
P13,28,2027-05-31,30.8,2,
P14,0,2027-05-03,0.5,2,
P14,7,2027-05-10,8.8,2,
P14,14,2027-05-17,13.7,2,
P14,21,2027-05-24,23.4,2,
P14,28,2027-05-31,33.5,2,
P15,0,2027-05-03,0.5,2,
P15,7,2027-05-10,9.4,2,
P15,14,2027-05-17,16.7,2,
P15,21,2027-05-24,25.6,2,
P15,28,2027-05-31,32.5,2,
P16,0,2027-05-03,0.5,2,
P16,7,2027-05-10,7.6,2,
P16,14,2027-05-17,16.9,2,
P16,21,2027-05-24,24.3,2,
P16,28,2027-05-31,28.1,2,
