# MarsWorm | V4 The bioengineered plant | Exp 1 | Is the plant poisoning itself?
# Sheet: tissue.csv | invented numbers, a dry run and not a result | scenario: ammonium-rescues | every column is defined in the codebook for this experiment
pot_id,day,date,dry_mass_g,nitrate_reductase_units,tissue_nitrate_mg_per_g,method,notes
P01,0,2027-05-03,0.0025,0.5,1.84,"in vivo assay, then ion chromatography",
P01,7,2027-05-10,0.0141,1.87,13.67,"in vivo assay, then ion chromatography",
P01,14,2027-05-17,0.0329,1.9,13.39,"in vivo assay, then ion chromatography",
P01,21,2027-05-24,0.0404,2.06,12.41,"in vivo assay, then ion chromatography",
P01,28,2027-05-31,0.0527,2.1,14.56,"in vivo assay, then ion chromatography",
P02,0,2027-05-03,0.0034,0.53,1.23,"in vivo assay, then ion chromatography",
P02,7,2027-05-10,0.0169,2.03,13.66,"in vivo assay, then ion chromatography",
P02,14,2027-05-17,0.0313,1.98,12.64,"in vivo assay, then ion chromatography",
P02,21,2027-05-24,0.0437,1.87,14.19,"in vivo assay, then ion chromatography",
P02,28,2027-05-31,0.0517,2.01,13.8,"in vivo assay, then ion chromatography",
P03,0,2027-05-03,0.0032,0.34,2.49,"in vivo assay, then ion chromatography",
P03,7,2027-05-10,0.0156,1.78,13.38,"in vivo assay, then ion chromatography",
P03,14,2027-05-17,0.0283,1.75,12.5,"in vivo assay, then ion chromatography",
P03,21,2027-05-24,0.0456,2.03,13.43,"in vivo assay, then ion chromatography",
P03,28,2027-05-31,0.0577,1.9,13.26,"in vivo assay, then ion chromatography",
P04,0,2027-05-03,0.0031,0.66,1.85,"in vivo assay, then ion chromatography",
P04,7,2027-05-10,0.0185,1.85,13.25,"in vivo assay, then ion chromatography",
P04,14,2027-05-17,0.0219,1.8,13.57,"in vivo assay, then ion chromatography",
P04,21,2027-05-24,0.0476,1.93,14.31,"in vivo assay, then ion chromatography",
P04,28,2027-05-31,0.0701,1.69,13.67,"in vivo assay, then ion chromatography",
P05,0,2027-05-03,0.0037,0.49,1.01,"in vivo assay, then ion chromatography",
P05,7,2027-05-10,0.0956,2.25,3.58,"in vivo assay, then ion chromatography",
P05,14,2027-05-17,0.2134,2.09,3.48,"in vivo assay, then ion chromatography",
P05,21,2027-05-24,0.3138,1.98,3.07,"in vivo assay, then ion chromatography",
P05,28,2027-05-31,0.3406,1.97,2.91,"in vivo assay, then ion chromatography",
P06,0,2027-05-03,0.0035,0.29,1.65,"in vivo assay, then ion chromatography",
P06,7,2027-05-10,0.0958,1.86,2.13,"in vivo assay, then ion chromatography",
P06,14,2027-05-17,0.1614,1.81,5.09,"in vivo assay, then ion chromatography",
P06,21,2027-05-24,0.2586,2.0,3.84,"in vivo assay, then ion chromatography",
P06,28,2027-05-31,0.3339,2.16,3.98,"in vivo assay, then ion chromatography",
P07,0,2027-05-03,0.0035,0.3,2.2,"in vivo assay, then ion chromatography",
P07,7,2027-05-10,0.0975,2.19,2.58,"in vivo assay, then ion chromatography",
P07,14,2027-05-17,0.192,2.24,3.69,"in vivo assay, then ion chromatography",
P07,21,2027-05-24,0.2944,2.07,2.34,"in vivo assay, then ion chromatography",
P07,28,2027-05-31,0.4549,2.14,1.54,"in vivo assay, then ion chromatography",
P08,0,2027-05-03,0.0028,0.54,2.36,"in vivo assay, then ion chromatography",
P08,7,2027-05-10,0.1111,2.09,3.73,"in vivo assay, then ion chromatography",
P08,14,2027-05-17,0.1539,2.22,2.87,"in vivo assay, then ion chromatography",
P08,21,2027-05-24,0.322,1.99,4.14,"in vivo assay, then ion chromatography",
P08,28,2027-05-31,0.3701,2.09,2.35,"in vivo assay, then ion chromatography",
P09,0,2027-05-03,0.0028,0.4,2.31,"in vivo assay, then ion chromatography",
