# MarsWorm | V4 The bioengineered plant | Exp 2 | Does cleaning the pot rescue the plant?
# Sheet: harvest.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
pot_id,day,date,dry_mass_g,method,notes
Q01,0,,,,
Q01,28,,,,
Q02,0,,,,
Q02,28,,,,
Q03,0,,,,
Q03,28,,,,
Q04,0,,,,
Q04,28,,,,
Q05,0,,,,
Q05,28,,,,
Q06,0,,,,
Q06,28,,,,
Q07,0,,,,
Q07,28,,,,
Q08,0,,,,
Q08,28,,,,
Q09,0,,,,
Q09,28,,,,
Q10,0,,,,
Q10,28,,,,
Q11,0,,,,
Q11,28,,,,
Q12,0,,,,
Q12,28,,,,
Q13,0,,,,
Q13,28,,,,
Q14,0,,,,
Q14,28,,,,
Q15,0,,,,
Q15,28,,,,
Q16,0,,,,
Q16,28,,,,
