# MarsWorm | V4 The bioengineered plant | Exp 2 | Does cleaning the pot rescue the plant?
# Sheet: care_log.csv | invented numbers, a dry run and not a result | scenario: bacteria-rescue-the-plant | every column is defined in the codebook for this experiment
pot_id,day,date,damp_ok,water_added_ml,light_hours,notes
Q01,7,2027-06-14,y,20,16,
Q01,14,2027-06-21,y,15,16,
Q01,21,2027-06-28,y,15,16,
Q01,28,2027-07-05,y,10,16,
Q02,7,2027-06-14,y,20,16,
Q02,14,2027-06-21,y,10,16,
Q02,21,2027-06-28,y,20,16,
Q02,28,2027-07-05,y,20,16,
Q03,7,2027-06-14,y,10,16,
Q03,14,2027-06-21,y,15,16,
Q03,21,2027-06-28,y,10,16,
Q03,28,2027-07-05,y,10,16,
Q04,7,2027-06-14,y,15,16,
Q04,14,2027-06-21,y,15,16,
Q04,21,2027-06-28,y,10,16,
Q04,28,2027-07-05,y,15,16,
Q05,7,2027-06-14,y,20,16,
Q05,14,2027-06-21,y,10,16,
Q05,21,2027-06-28,y,20,16,
Q05,28,2027-07-05,y,20,16,
Q06,7,2027-06-14,y,10,16,
Q06,14,2027-06-21,y,10,16,
Q06,21,2027-06-28,y,10,16,
Q06,28,2027-07-05,y,20,16,
Q07,7,2027-06-14,y,10,16,
Q07,14,2027-06-21,y,20,16,
Q07,21,2027-06-28,y,15,16,
Q07,28,2027-07-05,y,20,16,
Q08,7,2027-06-14,y,10,16,
Q08,14,2027-06-21,y,10,16,
Q08,21,2027-06-28,y,10,16,
Q08,28,2027-07-05,y,10,16,
Q09,7,2027-06-14,y,20,16,
Q09,14,2027-06-21,y,10,16,
Q09,21,2027-06-28,y,15,16,
Q09,28,2027-07-05,y,20,16,
Q10,7,2027-06-14,y,10,16,
Q10,14,2027-06-21,y,20,16,
Q10,21,2027-06-28,y,20,16,
Q10,28,2027-07-05,y,20,16,
Q11,7,2027-06-14,y,15,16,
Q11,14,2027-06-21,y,15,16,
Q11,21,2027-06-28,y,10,16,
Q11,28,2027-07-05,y,10,16,
Q12,7,2027-06-14,y,15,16,
Q12,14,2027-06-21,y,15,16,
Q12,21,2027-06-28,y,20,16,
Q12,28,2027-07-05,y,20,16,
Q13,7,2027-06-14,y,20,16,
Q13,14,2027-06-21,y,10,16,
Q13,21,2027-06-28,y,15,16,
Q13,28,2027-07-05,y,10,16,
Q14,7,2027-06-14,y,15,16,
Q14,14,2027-06-21,y,20,16,
Q14,21,2027-06-28,y,15,16,
Q14,28,2027-07-05,y,15,16,
Q15,7,2027-06-14,y,20,16,
Q15,14,2027-06-21,y,10,16,
Q15,21,2027-06-28,y,15,16,
Q15,28,2027-07-05,y,15,16,
Q16,7,2027-06-14,y,20,16,
Q16,14,2027-06-21,y,15,16,
Q16,21,2027-06-28,y,15,16,
Q16,28,2027-07-05,y,20,16,
