# MarsWorm | V4 The bioengineered plant | Exp 2 | Does cleaning the pot rescue the plant?
# Sheet: growth.csv | invented numbers, a dry run and not a result | scenario: bacteria-rescue-the-plant | every column is defined in the codebook for this experiment
pot_id,day,date,leaf_area_cm2,leaves_green,notes
Q01,0,2027-06-07,0.5,3,
Q01,7,2027-06-14,13.9,3,
Q01,14,2027-06-21,26.7,3,
Q01,21,2027-06-28,46.1,3,
Q01,28,2027-07-05,49.0,3,
Q02,0,2027-06-07,0.5,3,
Q02,7,2027-06-14,13.3,3,
Q02,14,2027-06-21,22.8,3,
Q02,21,2027-06-28,36.5,3,
Q02,28,2027-07-05,55.5,3,
Q03,0,2027-06-07,0.6,3,
Q03,7,2027-06-14,11.4,3,
Q03,14,2027-06-21,22.8,3,
Q03,21,2027-06-28,37.6,3,
Q03,28,2027-07-05,48.3,3,
Q04,0,2027-06-07,0.5,3,
Q04,7,2027-06-14,13.3,3,
Q04,14,2027-06-21,23.4,3,
Q04,21,2027-06-28,30.3,3,
Q04,28,2027-07-05,49.3,3,
Q05,0,2027-06-07,0.5,1,
Q05,7,2027-06-14,2.5,1,
Q05,14,2027-06-21,4.3,1,
Q05,21,2027-06-28,6.5,1,
Q05,28,2027-07-05,8.6,1,
Q06,0,2027-06-07,0.5,1,
Q06,7,2027-06-14,2.4,1,
Q06,14,2027-06-21,4.0,1,
Q06,21,2027-06-28,6.6,1,
Q06,28,2027-07-05,8.1,1,
Q07,0,2027-06-07,0.5,1,
Q07,7,2027-06-14,2.5,1,
Q07,14,2027-06-21,4.4,1,
Q07,21,2027-06-28,7.1,1,
Q07,28,2027-07-05,8.9,1,
Q08,0,2027-06-07,0.5,1,
Q08,7,2027-06-14,2.6,1,
Q08,14,2027-06-21,4.3,1,
Q08,21,2027-06-28,6.4,1,
Q08,28,2027-07-05,9.6,1,
Q09,0,2027-06-07,0.5,3,
Q09,7,2027-06-14,15.2,3,
Q09,14,2027-06-21,28.3,3,
Q09,21,2027-06-28,43.7,3,
Q09,28,2027-07-05,53.6,3,
Q10,0,2027-06-07,0.5,3,
Q10,7,2027-06-14,14.4,3,
Q10,14,2027-06-21,32.3,3,
Q10,21,2027-06-28,55.9,3,
Q10,28,2027-07-05,56.3,3,
Q11,0,2027-06-07,0.6,3,
Q11,7,2027-06-14,14.6,3,
Q11,14,2027-06-21,26.7,3,
Q11,21,2027-06-28,45.2,3,
Q11,28,2027-07-05,52.8,3,
Q12,0,2027-06-07,0.6,3,
Q12,7,2027-06-14,14.1,3,
Q12,14,2027-06-21,33.6,3,
Q12,21,2027-06-28,42.3,3,
Q12,28,2027-07-05,56.4,3,
Q13,0,2027-06-07,0.5,3,
Q13,7,2027-06-14,16.0,3,
Q13,14,2027-06-21,32.0,3,
Q13,21,2027-06-28,46.0,3,
Q13,28,2027-07-05,54.3,3,
Q14,0,2027-06-07,0.5,3,
Q14,7,2027-06-14,15.1,3,
Q14,14,2027-06-21,30.8,3,
Q14,21,2027-06-28,45.5,3,
Q14,28,2027-07-05,64.3,3,
Q15,0,2027-06-07,0.5,3,
Q15,7,2027-06-14,15.3,3,
Q15,14,2027-06-21,31.8,3,
Q15,21,2027-06-28,40.6,3,
Q15,28,2027-07-05,56.5,3,
Q16,0,2027-06-07,0.5,3,
Q16,7,2027-06-14,14.6,3,
Q16,14,2027-06-21,28.8,3,
Q16,21,2027-06-28,41.6,3,
Q16,28,2027-07-05,56.8,3,
