# MarsWorm | V4 The bioengineered plant | Exp 2 | Does cleaning the pot rescue the plant?
# Sheet: harvest.csv | invented numbers, a dry run and not a result | scenario: bacteria-rescue-the-plant | every column is defined in the codebook for this experiment
pot_id,day,date,dry_mass_g,method,notes
Q01,0,2027-06-07,0.0104,dried at 60 C to constant mass,
Q01,28,2027-07-05,0.304,dried at 60 C to constant mass,
Q02,0,2027-06-07,0.0093,dried at 60 C to constant mass,
Q02,28,2027-07-05,0.2721,dried at 60 C to constant mass,
Q03,0,2027-06-07,0.01,dried at 60 C to constant mass,
Q03,28,2027-07-05,0.3426,dried at 60 C to constant mass,
Q04,0,2027-06-07,0.0101,dried at 60 C to constant mass,
Q04,28,2027-07-05,0.3242,dried at 60 C to constant mass,
Q05,0,2027-06-07,0.0113,dried at 60 C to constant mass,
Q05,28,2027-07-05,0.0463,dried at 60 C to constant mass,
Q06,0,2027-06-07,0.0095,dried at 60 C to constant mass,
Q06,28,2027-07-05,0.0521,dried at 60 C to constant mass,
Q07,0,2027-06-07,0.009,dried at 60 C to constant mass,
Q07,28,2027-07-05,0.0454,dried at 60 C to constant mass,
Q08,0,2027-06-07,0.0102,dried at 60 C to constant mass,
Q08,28,2027-07-05,0.0536,dried at 60 C to constant mass,
Q09,0,2027-06-07,0.0115,dried at 60 C to constant mass,
Q09,28,2027-07-05,0.382,dried at 60 C to constant mass,
Q10,0,2027-06-07,0.0089,dried at 60 C to constant mass,
Q10,28,2027-07-05,0.3155,dried at 60 C to constant mass,
Q11,0,2027-06-07,0.0097,dried at 60 C to constant mass,
Q11,28,2027-07-05,0.3246,dried at 60 C to constant mass,
Q12,0,2027-06-07,0.011,dried at 60 C to constant mass,
Q12,28,2027-07-05,0.3789,dried at 60 C to constant mass,
Q13,0,2027-06-07,0.0093,dried at 60 C to constant mass,
Q13,28,2027-07-05,0.3575,dried at 60 C to constant mass,
Q14,0,2027-06-07,0.0086,dried at 60 C to constant mass,
Q14,28,2027-07-05,0.3389,dried at 60 C to constant mass,
Q15,0,2027-06-07,0.0093,dried at 60 C to constant mass,
Q15,28,2027-07-05,0.3249,dried at 60 C to constant mass,
Q16,0,2027-06-07,0.0097,dried at 60 C to constant mass,
Q16,28,2027-07-05,0.4144,dried at 60 C to constant mass,
