# MarsWorm | V4 The bioengineered plant | Exp 2 | Does cleaning the pot rescue the plant?
# Sheet: soil.csv | invented numbers, a dry run and not a result | scenario: bacteria-rescue-the-plant | every column is defined in the codebook for this experiment
pot_id,day,date,chlorate_mg_per_kg,chloride_mg_per_kg,ph,notes
Q01,0,2027-06-07,1183.5,12.1,8.16,
Q01,7,2027-06-14,641.0,246.2,8.33,
Q01,14,2027-06-21,374.9,356.1,7.88,
Q01,21,2027-06-28,193.1,435.5,8.38,
Q01,28,2027-07-05,103.9,472.4,8.06,
Q02,0,2027-06-07,1263.4,2.8,7.86,
Q02,7,2027-06-14,682.2,224.5,8.16,
Q02,14,2027-06-21,378.2,358.7,7.94,
Q02,21,2027-06-28,178.8,444.2,8.18,
Q02,28,2027-07-05,112.0,468.8,8.02,
Q03,0,2027-06-07,1185.8,10.5,8.1,
Q03,7,2027-06-14,715.1,210.9,8.22,
Q03,14,2027-06-21,374.7,357.5,8.19,
Q03,21,2027-06-28,201.8,429.5,8.17,
Q03,28,2027-07-05,107.6,475.4,8.15,
Q04,0,2027-06-07,1194.4,2.5,8.09,
Q04,7,2027-06-14,711.1,215.3,8.11,
Q04,14,2027-06-21,365.0,364.2,8.3,
Q04,21,2027-06-28,194.8,433.6,8.2,
Q04,28,2027-07-05,116.2,467.5,8.36,
Q05,0,2027-06-07,1143.1,26.7,7.88,
Q05,7,2027-06-14,1155.8,19.9,8.08,
Q05,14,2027-06-21,1231.1,3.9,8.33,
Q05,21,2027-06-28,1283.4,2.7,8.08,
Q05,28,2027-07-05,1194.2,8.0,8.3,
Q06,0,2027-06-07,1149.4,22.4,8.23,
Q06,7,2027-06-14,1237.4,0.7,8.14,
Q06,14,2027-06-21,1170.5,14.2,8.13,
Q06,21,2027-06-28,1160.8,19.1,8.24,
Q06,28,2027-07-05,1168.1,15.2,8.41,
Q07,0,2027-06-07,1197.1,2.8,8.47,
Q07,7,2027-06-14,1190.8,4.7,8.09,
Q07,14,2027-06-21,1298.8,4.5,8.05,
Q07,21,2027-06-28,1159.9,17.9,8.08,
Q07,28,2027-07-05,1068.9,61.2,8.19,
Q08,0,2027-06-07,1212.4,0.1,8.11,
Q08,7,2027-06-14,1338.7,4.6,8.17,
Q08,14,2027-06-21,1191.1,7.0,8.36,
Q08,21,2027-06-28,1150.7,26.3,8.21,
Q08,28,2027-07-05,1132.9,34.1,8.31,
Q09,0,2027-06-07,0.0,1.8,8.08,
Q09,7,2027-06-14,0.0,5.4,7.98,
Q09,14,2027-06-21,0.0,1.6,8.24,
Q09,21,2027-06-28,0.0,3.9,7.97,
Q09,28,2027-07-05,0.0,0.4,8.32,
Q10,0,2027-06-07,0.0,0.9,8.11,
Q10,7,2027-06-14,0.0,5.8,8.22,
Q10,14,2027-06-21,0.0,1.0,8.23,
Q10,21,2027-06-28,0.0,4.1,8.21,
Q10,28,2027-07-05,0.0,4.7,7.95,
Q11,0,2027-06-07,0.0,2.0,8.22,
Q11,7,2027-06-14,0.0,4.1,8.45,
Q11,14,2027-06-21,0.0,3.3,8.12,
Q11,21,2027-06-28,0.0,2.7,7.94,
Q11,28,2027-07-05,0.0,5.8,7.88,
Q12,0,2027-06-07,0.0,2.2,8.21,
Q12,7,2027-06-14,0.0,4.4,8.2,
Q12,14,2027-06-21,0.0,2.9,8.24,
Q12,21,2027-06-28,0.0,5.4,8.14,
Q12,28,2027-07-05,0.0,5.8,8.08,
Q13,0,2027-06-07,0.0,2.5,8.19,
Q13,7,2027-06-14,0.0,0.9,8.53,
Q13,14,2027-06-21,0.0,1.5,8.3,
Q13,21,2027-06-28,0.0,5.6,8.16,
Q13,28,2027-07-05,0.0,1.5,8.05,
Q14,0,2027-06-07,0.0,5.2,8.07,
Q14,7,2027-06-14,0.0,0.5,8.29,
Q14,14,2027-06-21,0.0,5.4,8.48,
Q14,21,2027-06-28,0.0,1.0,8.29,
Q14,28,2027-07-05,0.0,2.2,8.22,
Q15,0,2027-06-07,0.0,0.2,8.04,
Q15,7,2027-06-14,0.0,1.4,8.09,
Q15,14,2027-06-21,0.0,1.0,7.97,
Q15,21,2027-06-28,0.0,0.2,7.93,
Q15,28,2027-07-05,0.0,5.1,8.27,
Q16,0,2027-06-07,0.0,1.8,8.2,
Q16,7,2027-06-14,0.0,4.1,8.33,
Q16,14,2027-06-21,0.0,2.0,8.3,
Q16,21,2027-06-28,0.0,5.3,8.36,
Q16,28,2027-07-05,0.0,5.8,8.16,
