# MarsWorm | V4 The bioengineered plant | Exp 2 | Does cleaning the pot rescue the plant?
# Sheet: soil.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
pot_id,day,date,chlorate_mg_per_kg,chloride_mg_per_kg,ph,notes
Q01,0,,,,,
Q01,7,,,,,
Q01,14,,,,,
Q01,21,,,,,
Q01,28,,,,,
Q02,0,,,,,
Q02,7,,,,,
Q02,14,,,,,
Q02,21,,,,,
Q02,28,,,,,
Q03,0,,,,,
Q03,7,,,,,
Q03,14,,,,,
Q03,21,,,,,
Q03,28,,,,,
Q04,0,,,,,
Q04,7,,,,,
Q04,14,,,,,
Q04,21,,,,,
Q04,28,,,,,
Q05,0,,,,,
Q05,7,,,,,
Q05,14,,,,,
Q05,21,,,,,
Q05,28,,,,,
Q06,0,,,,,
Q06,7,,,,,
Q06,14,,,,,
Q06,21,,,,,
Q06,28,,,,,
Q07,0,,,,,
Q07,7,,,,,
Q07,14,,,,,
Q07,21,,,,,
Q07,28,,,,,
Q08,0,,,,,
Q08,7,,,,,
Q08,14,,,,,
Q08,21,,,,,
Q08,28,,,,,
Q09,0,,,,,
Q09,7,,,,,
Q09,14,,,,,
Q09,21,,,,,
Q09,28,,,,,
Q10,0,,,,,
Q10,7,,,,,
Q10,14,,,,,
Q10,21,,,,,
Q10,28,,,,,
Q11,0,,,,,
Q11,7,,,,,
Q11,14,,,,,
Q11,21,,,,,
Q11,28,,,,,
Q12,0,,,,,
Q12,7,,,,,
Q12,14,,,,,
Q12,21,,,,,
Q12,28,,,,,
Q13,0,,,,,
Q13,7,,,,,
Q13,14,,,,,
Q13,21,,,,,
Q13,28,,,,,
Q14,0,,,,,
Q14,7,,,,,
Q14,14,,,,,
Q14,21,,,,,
Q14,28,,,,,
Q15,0,,,,,
Q15,7,,,,,
Q15,14,,,,,
Q15,21,,,,,
Q15,28,,,,,
Q16,0,,,,,
Q16,7,,,,,
Q16,14,,,,,
Q16,21,,,,,
Q16,28,,,,,
