# MarsWorm | V4 The bioengineered plant | Exp 3 | Does root acid unlock Martian rock?
# Sheet: leachate.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
pot_id,day,date,phosphate_mg_per_l,iron_mg_per_l,ph,notes
C01,0,,,,,
C01,7,,,,,
C01,14,,,,,
C01,21,,,,,
C01,28,,,,,
C02,0,,,,,
C02,7,,,,,
C02,14,,,,,
C02,21,,,,,
C02,28,,,,,
C03,0,,,,,
C03,7,,,,,
C03,14,,,,,
C03,21,,,,,
C03,28,,,,,
C04,0,,,,,
C04,7,,,,,
C04,14,,,,,
C04,21,,,,,
C04,28,,,,,
C05,0,,,,,
C05,7,,,,,
C05,14,,,,,
C05,21,,,,,
C05,28,,,,,
C06,0,,,,,
C06,7,,,,,
C06,14,,,,,
C06,21,,,,,
C06,28,,,,,
C07,0,,,,,
C07,7,,,,,
C07,14,,,,,
C07,21,,,,,
C07,28,,,,,
C08,0,,,,,
C08,7,,,,,
C08,14,,,,,
C08,21,,,,,
C08,28,,,,,
C09,0,,,,,
C09,7,,,,,
C09,14,,,,,
C09,21,,,,,
C09,28,,,,,
C10,0,,,,,
C10,7,,,,,
C10,14,,,,,
C10,21,,,,,
C10,28,,,,,
C11,0,,,,,
C11,7,,,,,
C11,14,,,,,
C11,21,,,,,
C11,28,,,,,
C12,0,,,,,
C12,7,,,,,
C12,14,,,,,
C12,21,,,,,
C12,28,,,,,
C13,0,,,,,
C13,7,,,,,
C13,14,,,,,
C13,21,,,,,
C13,28,,,,,
C14,0,,,,,
C14,7,,,,,
C14,14,,,,,
C14,21,,,,,
C14,28,,,,,
C15,0,,,,,
C15,7,,,,,
C15,14,,,,,
C15,21,,,,,
C15,28,,,,,
C16,0,,,,,
C16,7,,,,,
C16,14,,,,,
C16,21,,,,,
C16,28,,,,,
C17,0,,,,,
C17,7,,,,,
C17,14,,,,,
C17,21,,,,,
C17,28,,,,,
C18,0,,,,,
C18,7,,,,,
C18,14,,,,,
C18,21,,,,,
C18,28,,,,,
C19,0,,,,,
C19,7,,,,,
C19,14,,,,,
C19,21,,,,,
C19,28,,,,,
C20,0,,,,,
C20,7,,,,,
C20,14,,,,,
C20,21,,,,,
C20,28,,,,,
C21,0,,,,,
C21,7,,,,,
C21,14,,,,,
C21,21,,,,,
C21,28,,,,,
C22,0,,,,,
C22,7,,,,,
C22,14,,,,,
C22,21,,,,,
C22,28,,,,,
C23,0,,,,,
C23,7,,,,,
C23,14,,,,,
C23,21,,,,,
C23,28,,,,,
C24,0,,,,,
C24,7,,,,,
C24,14,,,,,
C24,21,,,,,
C24,28,,,,,
C25,0,,,,,
C25,7,,,,,
C25,14,,,,,
C25,21,,,,,
C25,28,,,,,
C26,0,,,,,
C26,7,,,,,
C26,14,,,,,
C26,21,,,,,
C26,28,,,,,
C27,0,,,,,
C27,7,,,,,
C27,14,,,,,
C27,21,,,,,
C27,28,,,,,
C28,0,,,,,
C28,7,,,,,
C28,14,,,,,
C28,21,,,,,
C28,28,,,,,
C29,0,,,,,
C29,7,,,,,
C29,14,,,,,
C29,21,,,,,
C29,28,,,,,
C30,0,,,,,
C30,7,,,,,
C30,14,,,,,
C30,21,,,,,
C30,28,,,,,
