# MarsWorm | V4 The bioengineered plant | Exp 3 | Does root acid unlock Martian rock?
# Sheet: plant.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
pot_id,day,date,dry_mass_g,tissue_p_mg_per_g,method,notes
C01,0,,,,,
C01,28,,,,,
C02,0,,,,,
C02,28,,,,,
C03,0,,,,,
C03,28,,,,,
C07,0,,,,,
C07,28,,,,,
C08,0,,,,,
C08,28,,,,,
C09,0,,,,,
C09,28,,,,,
C13,0,,,,,
C13,28,,,,,
C14,0,,,,,
C14,28,,,,,
C15,0,,,,,
C15,28,,,,,
C19,0,,,,,
C19,28,,,,,
C20,0,,,,,
C20,28,,,,,
C21,0,,,,,
C21,28,,,,,
C25,0,,,,,
C25,28,,,,,
C26,0,,,,,
C26,28,,,,,
C27,0,,,,,
C27,28,,,,,
