# MarsWorm | V4 The bioengineered plant | Exp 3 | Does root acid unlock Martian rock?
# Sheet: pots.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
pot_id,level,citrate_mm,plant,bench_position,simulant_g,water_ml,seeds_sown,date_started
C01,A,0.0,yes,22,,,,
C02,A,0.0,yes,6,,,,
C03,A,0.0,yes,16,,,,
C04,A,0.0,no,30,,,,
C05,A,0.0,no,8,,,,
C06,A,0.0,no,29,,,,
C07,B,0.1,yes,10,,,,
C08,B,0.1,yes,1,,,,
C09,B,0.1,yes,14,,,,
C10,B,0.1,no,9,,,,
C11,B,0.1,no,28,,,,
C12,B,0.1,no,23,,,,
C13,C,0.5,yes,27,,,,
C14,C,0.5,yes,15,,,,
C15,C,0.5,yes,24,,,,
C16,C,0.5,no,25,,,,
C17,C,0.5,no,20,,,,
C18,C,0.5,no,7,,,,
C19,D,2.0,yes,17,,,,
C20,D,2.0,yes,26,,,,
C21,D,2.0,yes,19,,,,
C22,D,2.0,no,12,,,,
C23,D,2.0,no,4,,,,
C24,D,2.0,no,18,,,,
C25,E,10.0,yes,3,,,,
C26,E,10.0,yes,2,,,,
C27,E,10.0,yes,21,,,,
C28,E,10.0,no,13,,,,
C29,E,10.0,no,5,,,,
C30,E,10.0,no,11,,,,
