# MarsWorm | V4 The bioengineered plant | Exp 3 | Does root acid unlock Martian rock?
# Sheet: care_log.csv | invented numbers, a dry run and not a result | scenario: citrate-frees-phosphorus | every column is defined in the codebook for this experiment
pot_id,day,date,damp_ok,water_added_ml,citrate_topped_up,notes
C01,7,2027-07-12,y,10,n,
C01,14,2027-07-19,y,15,n,
C01,21,2027-07-26,y,20,n,
C01,28,2027-08-02,y,10,n,
C02,7,2027-07-12,y,10,n,
C02,14,2027-07-19,y,10,n,
C02,21,2027-07-26,y,15,n,
C02,28,2027-08-02,y,15,n,
C03,7,2027-07-12,y,20,n,
C03,14,2027-07-19,y,10,n,
C03,21,2027-07-26,y,15,n,
C03,28,2027-08-02,y,15,n,
C04,7,2027-07-12,y,15,n,
C04,14,2027-07-19,y,15,n,
C04,21,2027-07-26,y,20,n,
C04,28,2027-08-02,y,10,n,
C05,7,2027-07-12,y,10,n,
C05,14,2027-07-19,n,20,n,
C05,21,2027-07-26,y,10,n,
C05,28,2027-08-02,y,10,n,
C06,7,2027-07-12,y,10,n,
C06,14,2027-07-19,y,15,n,
C06,21,2027-07-26,y,10,n,
C06,28,2027-08-02,y,20,n,
C07,7,2027-07-12,y,20,y,
C07,14,2027-07-19,y,10,y,
C07,21,2027-07-26,y,10,y,
C07,28,2027-08-02,y,15,y,
C08,7,2027-07-12,y,10,y,
C08,14,2027-07-19,y,15,y,
C08,21,2027-07-26,y,15,y,
C08,28,2027-08-02,y,15,y,
C09,7,2027-07-12,y,15,y,
C09,14,2027-07-19,y,10,y,
C09,21,2027-07-26,y,10,y,
C09,28,2027-08-02,y,15,y,
C10,7,2027-07-12,y,10,y,
C10,14,2027-07-19,y,15,y,
C10,21,2027-07-26,y,10,y,
C10,28,2027-08-02,n,15,y,
C11,7,2027-07-12,y,10,y,
C11,14,2027-07-19,n,20,y,
C11,21,2027-07-26,y,15,y,
C11,28,2027-08-02,y,15,y,
C12,7,2027-07-12,y,20,y,
C12,14,2027-07-19,y,10,y,
C12,21,2027-07-26,y,10,y,
C12,28,2027-08-02,y,20,y,
C13,7,2027-07-12,y,15,y,
C13,14,2027-07-19,y,20,y,
C13,21,2027-07-26,y,15,y,
C13,28,2027-08-02,y,10,y,
C14,7,2027-07-12,y,10,y,
C14,14,2027-07-19,y,20,y,
C14,21,2027-07-26,y,20,y,
C14,28,2027-08-02,y,10,y,
C15,7,2027-07-12,y,20,y,
C15,14,2027-07-19,y,20,y,
C15,21,2027-07-26,y,15,y,
C15,28,2027-08-02,y,10,y,
C16,7,2027-07-12,y,20,y,
C16,14,2027-07-19,y,15,y,
C16,21,2027-07-26,y,10,y,
C16,28,2027-08-02,y,10,y,
C17,7,2027-07-12,y,10,y,
C17,14,2027-07-19,y,15,y,
C17,21,2027-07-26,y,20,y,
C17,28,2027-08-02,y,10,y,
C18,7,2027-07-12,y,10,y,
C18,14,2027-07-19,y,20,y,
C18,21,2027-07-26,y,20,y,
C18,28,2027-08-02,y,20,y,
C19,7,2027-07-12,y,20,y,
C19,14,2027-07-19,y,20,y,
C19,21,2027-07-26,y,20,y,
C19,28,2027-08-02,y,15,y,
C20,7,2027-07-12,y,20,y,
C20,14,2027-07-19,y,15,y,
C20,21,2027-07-26,y,20,y,
C20,28,2027-08-02,y,10,y,
C21,7,2027-07-12,y,15,y,
C21,14,2027-07-19,y,20,y,
C21,21,2027-07-26,y,15,y,
C21,28,2027-08-02,y,10,y,
C22,7,2027-07-12,y,15,y,
C22,14,2027-07-19,y,15,y,
C22,21,2027-07-26,y,10,y,
C22,28,2027-08-02,y,10,y,
C23,7,2027-07-12,y,20,y,
C23,14,2027-07-19,y,10,y,
C23,21,2027-07-26,y,20,y,
C23,28,2027-08-02,y,10,y,
C24,7,2027-07-12,y,15,y,
C24,14,2027-07-19,y,15,y,
C24,21,2027-07-26,y,15,y,
C24,28,2027-08-02,y,15,y,
C25,7,2027-07-12,y,15,y,
C25,14,2027-07-19,y,20,y,
C25,21,2027-07-26,y,15,y,
C25,28,2027-08-02,y,15,y,
C26,7,2027-07-12,y,15,y,
C26,14,2027-07-19,y,15,y,
C26,21,2027-07-26,y,15,y,
C26,28,2027-08-02,y,20,y,
C27,7,2027-07-12,y,20,y,
C27,14,2027-07-19,y,15,y,
C27,21,2027-07-26,y,20,y,
C27,28,2027-08-02,y,20,y,
C28,7,2027-07-12,y,20,y,
C28,14,2027-07-19,y,10,y,
C28,21,2027-07-26,y,15,y,
C28,28,2027-08-02,y,20,y,
C29,7,2027-07-12,y,20,y,
C29,14,2027-07-19,y,15,y,
C29,21,2027-07-26,y,10,y,
C29,28,2027-08-02,y,20,y,
C30,7,2027-07-12,y,15,y,
C30,14,2027-07-19,y,10,y,
C30,21,2027-07-26,y,10,y,
C30,28,2027-08-02,y,10,y,
