# MarsWorm | V4 The bioengineered plant | Exp 3 | Does root acid unlock Martian rock?
# Sheet: leachate.csv | invented numbers, a dry run and not a result | scenario: citrate-frees-phosphorus | every column is defined in the codebook for this experiment
pot_id,day,date,phosphate_mg_per_l,iron_mg_per_l,ph,notes
C01,0,2027-07-05,0.104,0.05,8.18,
C01,7,2027-07-12,0.183,0.088,8.34,
C01,14,2027-07-19,0.244,0.14,8.4,
C01,21,2027-07-26,0.343,0.151,8.25,
C01,28,2027-08-02,0.348,0.185,8.01,
C02,0,2027-07-05,0.097,0.049,8.2,
C02,7,2027-07-12,0.168,0.082,8.36,
C02,14,2027-07-19,0.244,0.124,8.34,
C02,21,2027-07-26,0.317,0.141,8.41,
C02,28,2027-08-02,0.399,0.158,8.37,
C03,0,2027-07-05,0.092,0.047,8.25,
C03,7,2027-07-12,0.16,0.088,8.46,
C03,14,2027-07-19,0.267,0.132,8.4,
C03,21,2027-07-26,0.291,0.182,8.23,
C03,28,2027-08-02,0.375,0.201,8.47,
C04,0,2027-07-05,0.094,0.042,8.36,
C04,7,2027-07-12,0.193,0.098,8.53,
C04,14,2027-07-19,0.34,0.157,8.34,
C04,21,2027-07-26,0.374,0.227,8.37,
C04,28,2027-08-02,0.464,0.206,8.3,
C05,0,2027-07-05,0.086,0.051,8.21,
C05,7,2027-07-12,0.188,0.101,8.28,
C05,14,2027-07-19,0.258,0.152,8.23,
C05,21,2027-07-26,0.404,0.222,8.38,
C05,28,2027-08-02,0.381,0.276,8.39,
C06,0,2027-07-05,0.108,0.059,8.23,
C06,7,2027-07-12,0.192,0.088,8.19,
C06,14,2027-07-19,0.29,0.146,8.19,
C06,21,2027-07-26,0.403,0.213,8.24,
C06,28,2027-08-02,0.477,0.259,8.22,
C07,0,2027-07-05,0.09,0.056,8.43,
C07,7,2027-07-12,0.392,0.241,8.22,
C07,14,2027-07-19,0.663,0.525,8.35,
C07,21,2027-07-26,1.092,0.598,8.42,
C07,28,2027-08-02,1.288,0.788,8.32,
C08,0,2027-07-05,0.11,0.048,8.34,
C08,7,2027-07-12,0.386,0.264,8.26,
