# MarsWorm | V4 The bioengineered plant | Exp 3 | Does root acid unlock Martian rock?
# Sheet: plant.csv | invented numbers, a dry run and not a result | scenario: citrate-frees-phosphorus | every column is defined in the codebook for this experiment
pot_id,day,date,dry_mass_g,tissue_p_mg_per_g,method,notes
C01,0,2027-07-05,0.0116,0.61,"dried at 60 C, then digested and read",
C01,28,2027-08-02,0.0909,0.87,"dried at 60 C, then digested and read",
C02,0,2027-07-05,0.0103,0.66,"dried at 60 C, then digested and read",
C02,28,2027-08-02,0.0851,0.85,"dried at 60 C, then digested and read",
C03,0,2027-07-05,0.0103,0.5,"dried at 60 C, then digested and read",
C03,28,2027-08-02,0.1044,0.77,"dried at 60 C, then digested and read",
C07,0,2027-07-05,0.0099,0.5,"dried at 60 C, then digested and read",
C07,28,2027-08-02,0.1441,1.38,"dried at 60 C, then digested and read",
C08,0,2027-07-05,0.0101,0.61,"dried at 60 C, then digested and read",
C08,28,2027-08-02,0.1295,1.41,"dried at 60 C, then digested and read",
C09,0,2027-07-05,0.0094,0.57,"dried at 60 C, then digested and read",
C09,28,2027-08-02,0.1265,1.47,"dried at 60 C, then digested and read",
C13,0,2027-07-05,0.0084,0.65,"dried at 60 C, then digested and read",
C13,28,2027-08-02,0.2197,3.28,"dried at 60 C, then digested and read",
C14,0,2027-07-05,0.011,0.66,"dried at 60 C, then digested and read",
C14,28,2027-08-02,0.2422,2.57,"dried at 60 C, then digested and read",
C15,0,2027-07-05,0.0083,0.64,"dried at 60 C, then digested and read",
C15,28,2027-08-02,0.3016,3.02,"dried at 60 C, then digested and read",
C19,0,2027-07-05,0.0091,0.54,"dried at 60 C, then digested and read",
C19,28,2027-08-02,0.3561,4.21,"dried at 60 C, then digested and read",
C20,0,2027-07-05,0.01,0.55,"dried at 60 C, then digested and read",
C20,28,2027-08-02,0.3596,4.24,"dried at 60 C, then digested and read",
C21,0,2027-07-05,0.0097,0.56,"dried at 60 C, then digested and read",
C21,28,2027-08-02,0.2927,4.31,"dried at 60 C, then digested and read",
C25,0,2027-07-05,0.0097,0.61,"dried at 60 C, then digested and read",
C25,28,2027-08-02,0.1882,3.95,"dried at 60 C, then digested and read",
C26,0,2027-07-05,0.0082,0.59,"dried at 60 C, then digested and read",
C26,28,2027-08-02,0.1836,3.23,"dried at 60 C, then digested and read",
C27,0,2027-07-05,0.0103,0.67,"dried at 60 C, then digested and read",
C27,28,2027-08-02,0.1879,3.6,"dried at 60 C, then digested and read",
