# MarsWorm | V4 The bioengineered plant | Exp 3 | Does root acid unlock Martian rock?
# Sheet: pots.csv | invented numbers, a dry run and not a result | scenario: citrate-frees-phosphorus | every column is defined in the codebook for this experiment
pot_id,level,citrate_mm,plant,bench_position,simulant_g,water_ml,seeds_sown,date_started
C01,A,0.0,yes,22,400,120,3,2027-07-05
C02,A,0.0,yes,6,400,120,3,2027-07-05
C03,A,0.0,yes,16,400,120,3,2027-07-05
C04,A,0.0,no,30,400,120,0,2027-07-05
C05,A,0.0,no,8,400,120,0,2027-07-05
C06,A,0.0,no,29,400,120,0,2027-07-05
C07,B,0.1,yes,10,400,120,3,2027-07-05
C08,B,0.1,yes,1,400,120,3,2027-07-05
C09,B,0.1,yes,14,400,120,3,2027-07-05
C10,B,0.1,no,9,400,120,0,2027-07-05
C11,B,0.1,no,28,400,120,0,2027-07-05
C12,B,0.1,no,23,400,120,0,2027-07-05
C13,C,0.5,yes,27,400,120,3,2027-07-05
C14,C,0.5,yes,15,400,120,3,2027-07-05
C15,C,0.5,yes,24,400,120,3,2027-07-05
C16,C,0.5,no,25,400,120,0,2027-07-05
C17,C,0.5,no,20,400,120,0,2027-07-05
C18,C,0.5,no,7,400,120,0,2027-07-05
C19,D,2.0,yes,17,400,120,3,2027-07-05
C20,D,2.0,yes,26,400,120,3,2027-07-05
C21,D,2.0,yes,19,400,120,3,2027-07-05
C22,D,2.0,no,12,400,120,0,2027-07-05
C23,D,2.0,no,4,400,120,0,2027-07-05
C24,D,2.0,no,18,400,120,0,2027-07-05
C25,E,10.0,yes,3,400,120,3,2027-07-05
C26,E,10.0,yes,2,400,120,3,2027-07-05
C27,E,10.0,yes,21,400,120,3,2027-07-05
C28,E,10.0,no,13,400,120,0,2027-07-05
C29,E,10.0,no,5,400,120,0,2027-07-05
C30,E,10.0,no,11,400,120,0,2027-07-05
