# MarsWorm | V4 The bioengineered plant | Exp 4 | Where does the perchlorate end up?
# Sheet: growth.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
pot_id,day,date,leaf_area_cm2,leaves_green,notes
R01,0,,,,
R01,7,,,,
R01,14,,,,
R01,21,,,,
R01,28,,,,
R02,0,,,,
R02,7,,,,
R02,14,,,,
R02,21,,,,
R02,28,,,,
R03,0,,,,
R03,7,,,,
R03,14,,,,
R03,21,,,,
R03,28,,,,
R04,0,,,,
R04,7,,,,
R04,14,,,,
R04,21,,,,
R04,28,,,,
R05,0,,,,
R05,7,,,,
R05,14,,,,
R05,21,,,,
R05,28,,,,
R06,0,,,,
R06,7,,,,
R06,14,,,,
R06,21,,,,
R06,28,,,,
R07,0,,,,
R07,7,,,,
R07,14,,,,
R07,21,,,,
R07,28,,,,
R08,0,,,,
R08,7,,,,
R08,14,,,,
R08,21,,,,
R08,28,,,,
R09,0,,,,
R09,7,,,,
R09,14,,,,
R09,21,,,,
R09,28,,,,
R10,0,,,,
R10,7,,,,
R10,14,,,,
R10,21,,,,
R10,28,,,,
R11,0,,,,
R11,7,,,,
R11,14,,,,
R11,21,,,,
R11,28,,,,
R12,0,,,,
R12,7,,,,
R12,14,,,,
R12,21,,,,
R12,28,,,,
R13,0,,,,
R13,7,,,,
R13,14,,,,
R13,21,,,,
R13,28,,,,
R14,0,,,,
R14,7,,,,
R14,14,,,,
R14,21,,,,
R14,28,,,,
R15,0,,,,
R15,7,,,,
R15,14,,,,
R15,21,,,,
R15,28,,,,
R16,0,,,,
R16,7,,,,
R16,14,,,,
R16,21,,,,
R16,28,,,,
