# MarsWorm | V4 The bioengineered plant | Exp 4 | Where does the perchlorate end up?
# Sheet: harvest.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
pot_id,part,day,date,dry_mass_g,perchlorate_mg_per_kg,method,notes
R01,root,28,,,,,
R01,leaf,28,,,,,
R02,root,28,,,,,
R02,leaf,28,,,,,
R03,root,28,,,,,
R03,leaf,28,,,,,
R04,root,28,,,,,
R04,leaf,28,,,,,
R05,root,28,,,,,
R05,leaf,28,,,,,
R06,root,28,,,,,
R06,leaf,28,,,,,
R07,root,28,,,,,
R07,leaf,28,,,,,
R08,root,28,,,,,
R08,leaf,28,,,,,
R09,root,28,,,,,
R09,leaf,28,,,,,
R10,root,28,,,,,
R10,leaf,28,,,,,
R11,root,28,,,,,
R11,leaf,28,,,,,
R12,root,28,,,,,
R12,leaf,28,,,,,
R13,root,28,,,,,
R13,leaf,28,,,,,
R14,root,28,,,,,
R14,leaf,28,,,,,
R15,root,28,,,,,
R15,leaf,28,,,,,
R16,root,28,,,,,
R16,leaf,28,,,,,
