# MarsWorm | V4 The bioengineered plant | Exp 4 | Where does the perchlorate end up?
# Sheet: care_log.csv | invented numbers, a dry run and not a result | scenario: it-stays-in-the-root | every column is defined in the codebook for this experiment
pot_id,day,date,damp_ok,water_added_ml,light_hours,notes
R01,7,2027-08-09,y,15,16,
R01,14,2027-08-16,y,15,16,
R01,21,2027-08-23,n,15,16,
R01,28,2027-08-30,y,15,16,
R02,7,2027-08-09,y,15,16,
R02,14,2027-08-16,y,20,16,
R02,21,2027-08-23,y,15,16,
R02,28,2027-08-30,y,20,16,
R03,7,2027-08-09,y,15,16,
R03,14,2027-08-16,y,20,16,
R03,21,2027-08-23,y,10,16,
R03,28,2027-08-30,y,10,16,
R04,7,2027-08-09,y,10,16,
R04,14,2027-08-16,y,10,16,
R04,21,2027-08-23,y,15,16,
R04,28,2027-08-30,y,20,16,
R05,7,2027-08-09,y,20,16,
R05,14,2027-08-16,y,20,16,
R05,21,2027-08-23,y,20,16,
R05,28,2027-08-30,y,20,16,
R06,7,2027-08-09,y,20,16,
R06,14,2027-08-16,y,15,16,
R06,21,2027-08-23,y,10,16,
R06,28,2027-08-30,y,10,16,
R07,7,2027-08-09,y,15,16,
R07,14,2027-08-16,y,20,16,
R07,21,2027-08-23,y,20,16,
R07,28,2027-08-30,y,20,16,
R08,7,2027-08-09,y,15,16,
R08,14,2027-08-16,y,15,16,
R08,21,2027-08-23,y,20,16,
R08,28,2027-08-30,y,10,16,
R09,7,2027-08-09,y,20,16,
R09,14,2027-08-16,y,15,16,
R09,21,2027-08-23,y,15,16,
R09,28,2027-08-30,y,15,16,
R10,7,2027-08-09,y,15,16,
R10,14,2027-08-16,y,10,16,
R10,21,2027-08-23,y,10,16,
R10,28,2027-08-30,y,15,16,
R11,7,2027-08-09,y,15,16,
R11,14,2027-08-16,y,20,16,
R11,21,2027-08-23,y,20,16,
R11,28,2027-08-30,y,20,16,
R12,7,2027-08-09,y,20,16,
R12,14,2027-08-16,y,10,16,
R12,21,2027-08-23,y,20,16,
R12,28,2027-08-30,y,20,16,
R13,7,2027-08-09,y,15,16,
R13,14,2027-08-16,y,10,16,
R13,21,2027-08-23,y,10,16,
R13,28,2027-08-30,y,20,16,
R14,7,2027-08-09,y,15,16,
R14,14,2027-08-16,y,15,16,
R14,21,2027-08-23,y,10,16,
R14,28,2027-08-30,y,15,16,
R15,7,2027-08-09,y,20,16,
R15,14,2027-08-16,y,10,16,
R15,21,2027-08-23,y,15,16,
R15,28,2027-08-30,y,15,16,
R16,7,2027-08-09,y,15,16,
R16,14,2027-08-16,y,10,16,
R16,21,2027-08-23,y,10,16,
R16,28,2027-08-30,y,15,16,
