# MarsWorm | V4 The bioengineered plant | Exp 4 | Where does the perchlorate end up?
# Sheet: growth.csv | invented numbers, a dry run and not a result | scenario: it-stays-in-the-root | every column is defined in the codebook for this experiment
pot_id,day,date,leaf_area_cm2,leaves_green,notes
R01,0,2027-08-02,0.5,3,
R01,7,2027-08-09,14.5,3,
R01,14,2027-08-16,26.2,3,
R01,21,2027-08-23,39.4,3,
R01,28,2027-08-30,61.4,3,
R02,0,2027-08-02,0.5,3,
R02,7,2027-08-09,12.1,3,
R02,14,2027-08-16,31.6,3,
R02,21,2027-08-23,50.6,3,
R02,28,2027-08-30,56.9,3,
R03,0,2027-08-02,0.5,3,
R03,7,2027-08-09,14.9,3,
R03,14,2027-08-16,27.9,3,
R03,21,2027-08-23,43.6,3,
R03,28,2027-08-30,58.0,3,
R04,0,2027-08-02,0.5,3,
R04,7,2027-08-09,15.7,3,
R04,14,2027-08-16,28.5,3,
R04,21,2027-08-23,42.9,3,
R04,28,2027-08-30,51.4,3,
R05,0,2027-08-02,0.5,3,
R05,7,2027-08-09,14.4,3,
R05,14,2027-08-16,27.4,3,
R05,21,2027-08-23,40.9,3,
R05,28,2027-08-30,53.4,3,
R06,0,2027-08-02,0.5,3,
R06,7,2027-08-09,13.9,3,
R06,14,2027-08-16,28.0,3,
R06,21,2027-08-23,43.9,3,
R06,28,2027-08-30,62.6,3,
R07,0,2027-08-02,0.5,3,
R07,7,2027-08-09,14.7,3,
R07,14,2027-08-16,26.7,3,
R07,21,2027-08-23,41.4,3,
R07,28,2027-08-30,57.7,3,
R08,0,2027-08-02,0.5,3,
R08,7,2027-08-09,13.7,3,
R08,14,2027-08-16,26.2,3,
R08,21,2027-08-23,43.7,3,
R08,28,2027-08-30,53.7,3,
R09,0,2027-08-02,0.6,3,
R09,7,2027-08-09,11.1,3,
R09,14,2027-08-16,28.0,3,
R09,21,2027-08-23,34.2,3,
R09,28,2027-08-30,47.0,3,
R10,0,2027-08-02,0.5,3,
R10,7,2027-08-09,12.7,3,
R10,14,2027-08-16,25.0,3,
R10,21,2027-08-23,35.7,3,
R10,28,2027-08-30,39.3,3,
R11,0,2027-08-02,0.5,3,
R11,7,2027-08-09,12.0,3,
R11,14,2027-08-16,26.0,3,
R11,21,2027-08-23,31.8,3,
R11,28,2027-08-30,48.1,3,
R12,0,2027-08-02,0.5,3,
R12,7,2027-08-09,10.2,3,
R12,14,2027-08-16,23.1,3,
R12,21,2027-08-23,36.8,3,
R12,28,2027-08-30,51.4,3,
R13,0,2027-08-02,0.5,2,
R13,7,2027-08-09,8.2,2,
R13,14,2027-08-16,15.5,2,
R13,21,2027-08-23,25.0,2,
R13,28,2027-08-30,27.5,2,
R14,0,2027-08-02,0.5,2,
R14,7,2027-08-09,9.0,2,
R14,14,2027-08-16,14.4,2,
R14,21,2027-08-23,22.5,2,
R14,28,2027-08-30,30.6,2,
R15,0,2027-08-02,0.5,2,
R15,7,2027-08-09,7.4,2,
R15,14,2027-08-16,15.4,2,
R15,21,2027-08-23,20.9,2,
R15,28,2027-08-30,32.8,2,
R16,0,2027-08-02,0.5,2,
R16,7,2027-08-09,7.5,2,
R16,14,2027-08-16,14.2,2,
R16,21,2027-08-23,22.3,2,
R16,28,2027-08-30,30.3,2,
