# MarsWorm | V4 The bioengineered plant | Exp 4 | Where does the perchlorate end up?
# Sheet: harvest.csv | invented numbers, a dry run and not a result | scenario: it-stays-in-the-root | every column is defined in the codebook for this experiment
pot_id,part,day,date,dry_mass_g,perchlorate_mg_per_kg,method,notes
R01,root,28,2027-08-30,0.3808,0.304,"washed, dried at 60 C, then ion chromatography",
R01,leaf,28,2027-08-30,0.281,0.048,"washed, dried at 60 C, then ion chromatography",
R02,root,28,2027-08-30,0.4326,0.332,"washed, dried at 60 C, then ion chromatography",
R02,leaf,28,2027-08-30,0.2939,0.055,"washed, dried at 60 C, then ion chromatography",
R03,root,28,2027-08-30,0.4225,0.285,"washed, dried at 60 C, then ion chromatography",
R03,leaf,28,2027-08-30,0.2508,0.056,"washed, dried at 60 C, then ion chromatography",
R04,root,28,2027-08-30,0.336,0.32,"washed, dried at 60 C, then ion chromatography",
R04,leaf,28,2027-08-30,0.2844,0.047,"washed, dried at 60 C, then ion chromatography",
R05,root,28,2027-08-30,0.3779,3.383,"washed, dried at 60 C, then ion chromatography",
R05,leaf,28,2027-08-30,0.2614,0.757,"washed, dried at 60 C, then ion chromatography",
R06,root,28,2027-08-30,0.4012,3.707,"washed, dried at 60 C, then ion chromatography",
R06,leaf,28,2027-08-30,0.2967,0.613,"washed, dried at 60 C, then ion chromatography",
R07,root,28,2027-08-30,0.4064,3.628,"washed, dried at 60 C, then ion chromatography",
R07,leaf,28,2027-08-30,0.298,0.484,"washed, dried at 60 C, then ion chromatography",
R08,root,28,2027-08-30,0.4177,3.583,"washed, dried at 60 C, then ion chromatography",
R08,leaf,28,2027-08-30,0.274,0.549,"washed, dried at 60 C, then ion chromatography",
R09,root,28,2027-08-30,0.341,6.21,"washed, dried at 60 C, then ion chromatography",
R09,leaf,28,2027-08-30,0.2602,1.257,"washed, dried at 60 C, then ion chromatography",
R10,root,28,2027-08-30,0.3291,6.979,"washed, dried at 60 C, then ion chromatography",
R10,leaf,28,2027-08-30,0.249,1.032,"washed, dried at 60 C, then ion chromatography",
R11,root,28,2027-08-30,0.3613,7.498,"washed, dried at 60 C, then ion chromatography",
R11,leaf,28,2027-08-30,0.2512,0.845,"washed, dried at 60 C, then ion chromatography",
R12,root,28,2027-08-30,0.3351,6.931,"washed, dried at 60 C, then ion chromatography",
R12,leaf,28,2027-08-30,0.2672,0.921,"washed, dried at 60 C, then ion chromatography",
R13,root,28,2027-08-30,0.2231,26.464,"washed, dried at 60 C, then ion chromatography",
R13,leaf,28,2027-08-30,0.1654,3.923,"washed, dried at 60 C, then ion chromatography",
R14,root,28,2027-08-30,0.2294,26.096,"washed, dried at 60 C, then ion chromatography",
R14,leaf,28,2027-08-30,0.1795,4.057,"washed, dried at 60 C, then ion chromatography",
R15,root,28,2027-08-30,0.1876,22.909,"washed, dried at 60 C, then ion chromatography",
R15,leaf,28,2027-08-30,0.1702,3.399,"washed, dried at 60 C, then ion chromatography",
R16,root,28,2027-08-30,0.1808,25.411,"washed, dried at 60 C, then ion chromatography",
R16,leaf,28,2027-08-30,0.1515,3.611,"washed, dried at 60 C, then ion chromatography",
