# MarsWorm | V5 A plant on open Mars | Exp 1 | Does a cold leaf hold its water at Martian pressure?
# Sheet: mass_log.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
sample_id,minute,clock_time,mass_g,appearance,notes
S01,0,,,,
S01,2,,,,
S01,5,,,,
S01,10,,,,
S01,20,,,,
S01,40,,,,
S01,60,,,,
S02,0,,,,
S02,2,,,,
S02,5,,,,
S02,10,,,,
S02,20,,,,
S02,40,,,,
S02,60,,,,
S03,0,,,,
S03,2,,,,
S03,5,,,,
S03,10,,,,
S03,20,,,,
S03,40,,,,
S03,60,,,,
S04,0,,,,
S04,2,,,,
S04,5,,,,
S04,10,,,,
S04,20,,,,
S04,40,,,,
S04,60,,,,
S05,0,,,,
S05,2,,,,
S05,5,,,,
S05,10,,,,
S05,20,,,,
S05,40,,,,
S05,60,,,,
S06,0,,,,
S06,2,,,,
S06,5,,,,
S06,10,,,,
S06,20,,,,
S06,40,,,,
S06,60,,,,
S07,0,,,,
S07,2,,,,
S07,5,,,,
S07,10,,,,
S07,20,,,,
S07,40,,,,
S07,60,,,,
S08,0,,,,
S08,2,,,,
S08,5,,,,
S08,10,,,,
S08,20,,,,
S08,40,,,,
S08,60,,,,
S09,0,,,,
S09,2,,,,
S09,5,,,,
S09,10,,,,
S09,20,,,,
S09,40,,,,
S09,60,,,,
S10,0,,,,
S10,2,,,,
S10,5,,,,
S10,10,,,,
S10,20,,,,
S10,40,,,,
S10,60,,,,
S11,0,,,,
S11,2,,,,
S11,5,,,,
S11,10,,,,
S11,20,,,,
S11,40,,,,
S11,60,,,,
S12,0,,,,
S12,2,,,,
S12,5,,,,
S12,10,,,,
S12,20,,,,
S12,40,,,,
S12,60,,,,
S13,0,,,,
S13,2,,,,
S13,5,,,,
S13,10,,,,
S13,20,,,,
S13,40,,,,
S13,60,,,,
S14,0,,,,
S14,2,,,,
S14,5,,,,
S14,10,,,,
S14,20,,,,
S14,40,,,,
S14,60,,,,
S15,0,,,,
S15,2,,,,
S15,5,,,,
S15,10,,,,
S15,20,,,,
S15,40,,,,
S15,60,,,,
S16,0,,,,
S16,2,,,,
S16,5,,,,
S16,10,,,,
S16,20,,,,
S16,40,,,,
S16,60,,,,
S17,0,,,,
S17,2,,,,
S17,5,,,,
S17,10,,,,
S17,20,,,,
S17,40,,,,
S17,60,,,,
S18,0,,,,
S18,2,,,,
S18,5,,,,
S18,10,,,,
S18,20,,,,
S18,40,,,,
S18,60,,,,
S19,0,,,,
S19,2,,,,
S19,5,,,,
S19,10,,,,
S19,20,,,,
S19,40,,,,
S19,60,,,,
S20,0,,,,
S20,2,,,,
S20,5,,,,
S20,10,,,,
S20,20,,,,
S20,40,,,,
S20,60,,,,
S21,0,,,,
S21,2,,,,
S21,5,,,,
S21,10,,,,
S21,20,,,,
S21,40,,,,
S21,60,,,,
S22,0,,,,
S22,2,,,,
S22,5,,,,
S22,10,,,,
S22,20,,,,
S22,40,,,,
S22,60,,,,
S23,0,,,,
S23,2,,,,
S23,5,,,,
S23,10,,,,
S23,20,,,,
S23,40,,,,
S23,60,,,,
S24,0,,,,
S24,2,,,,
S24,5,,,,
S24,10,,,,
S24,20,,,,
S24,40,,,,
S24,60,,,,
S25,0,,,,
S25,2,,,,
S25,5,,,,
S25,10,,,,
S25,20,,,,
S25,40,,,,
S25,60,,,,
S26,0,,,,
S26,2,,,,
S26,5,,,,
S26,10,,,,
S26,20,,,,
S26,40,,,,
S26,60,,,,
S27,0,,,,
S27,2,,,,
S27,5,,,,
S27,10,,,,
S27,20,,,,
S27,40,,,,
S27,60,,,,
S28,0,,,,
S28,2,,,,
S28,5,,,,
S28,10,,,,
S28,20,,,,
S28,40,,,,
S28,60,,,,
S29,0,,,,
S29,2,,,,
S29,5,,,,
S29,10,,,,
S29,20,,,,
S29,40,,,,
S29,60,,,,
S30,0,,,,
S30,2,,,,
S30,5,,,,
S30,10,,,,
S30,20,,,,
S30,40,,,,
S30,60,,,,
S31,0,,,,
S31,2,,,,
S31,5,,,,
S31,10,,,,
S31,20,,,,
S31,40,,,,
S31,60,,,,
S32,0,,,,
S32,2,,,,
S32,5,,,,
S32,10,,,,
S32,20,,,,
S32,40,,,,
S32,60,,,,
S33,0,,,,
S33,2,,,,
S33,5,,,,
S33,10,,,,
S33,20,,,,
S33,40,,,,
S33,60,,,,
S34,0,,,,
S34,2,,,,
S34,5,,,,
S34,10,,,,
S34,20,,,,
S34,40,,,,
S34,60,,,,
S35,0,,,,
S35,2,,,,
S35,5,,,,
S35,10,,,,
S35,20,,,,
S35,40,,,,
S35,60,,,,
S36,0,,,,
S36,2,,,,
S36,5,,,,
S36,10,,,,
S36,20,,,,
S36,40,,,,
S36,60,,,,
S37,0,,,,
S37,2,,,,
S37,5,,,,
S37,10,,,,
S37,20,,,,
S37,40,,,,
S37,60,,,,
S38,0,,,,
S38,2,,,,
S38,5,,,,
S38,10,,,,
S38,20,,,,
S38,40,,,,
S38,60,,,,
S39,0,,,,
S39,2,,,,
S39,5,,,,
S39,10,,,,
S39,20,,,,
S39,40,,,,
S39,60,,,,
S40,0,,,,
S40,2,,,,
S40,5,,,,
S40,10,,,,
S40,20,,,,
S40,40,,,,
S40,60,,,,
S41,0,,,,
S41,2,,,,
S41,5,,,,
S41,10,,,,
S41,20,,,,
S41,40,,,,
S41,60,,,,
S42,0,,,,
S42,2,,,,
S42,5,,,,
S42,10,,,,
S42,20,,,,
S42,40,,,,
S42,60,,,,
S43,0,,,,
S43,2,,,,
S43,5,,,,
S43,10,,,,
S43,20,,,,
S43,40,,,,
S43,60,,,,
S44,0,,,,
S44,2,,,,
S44,5,,,,
S44,10,,,,
S44,20,,,,
S44,40,,,,
S44,60,,,,
S45,0,,,,
S45,2,,,,
S45,5,,,,
S45,10,,,,
S45,20,,,,
S45,40,,,,
S45,60,,,,
S46,0,,,,
S46,2,,,,
S46,5,,,,
S46,10,,,,
S46,20,,,,
S46,40,,,,
S46,60,,,,
S47,0,,,,
S47,2,,,,
S47,5,,,,
S47,10,,,,
S47,20,,,,
S47,40,,,,
S47,60,,,,
S48,0,,,,
S48,2,,,,
S48,5,,,,
S48,10,,,,
S48,20,,,,
S48,40,,,,
S48,60,,,,
S49,0,,,,
S49,2,,,,
S49,5,,,,
S49,10,,,,
S49,20,,,,
S49,40,,,,
S49,60,,,,
S50,0,,,,
S50,2,,,,
S50,5,,,,
S50,10,,,,
S50,20,,,,
S50,40,,,,
S50,60,,,,
S51,0,,,,
S51,2,,,,
S51,5,,,,
S51,10,,,,
S51,20,,,,
S51,40,,,,
S51,60,,,,
S52,0,,,,
S52,2,,,,
S52,5,,,,
S52,10,,,,
S52,20,,,,
S52,40,,,,
S52,60,,,,
S53,0,,,,
S53,2,,,,
S53,5,,,,
S53,10,,,,
S53,20,,,,
S53,40,,,,
S53,60,,,,
S54,0,,,,
S54,2,,,,
S54,5,,,,
S54,10,,,,
S54,20,,,,
S54,40,,,,
S54,60,,,,
S55,0,,,,
S55,2,,,,
S55,5,,,,
S55,10,,,,
S55,20,,,,
S55,40,,,,
S55,60,,,,
S56,0,,,,
S56,2,,,,
S56,5,,,,
S56,10,,,,
S56,20,,,,
S56,40,,,,
S56,60,,,,
S57,0,,,,
S57,2,,,,
S57,5,,,,
S57,10,,,,
S57,20,,,,
S57,40,,,,
S57,60,,,,
S58,0,,,,
S58,2,,,,
S58,5,,,,
S58,10,,,,
S58,20,,,,
S58,40,,,,
S58,60,,,,
S59,0,,,,
S59,2,,,,
S59,5,,,,
S59,10,,,,
S59,20,,,,
S59,40,,,,
S59,60,,,,
S60,0,,,,
S60,2,,,,
S60,5,,,,
S60,10,,,,
S60,20,,,,
S60,40,,,,
S60,60,,,,
S61,0,,,,
S61,2,,,,
S61,5,,,,
S61,10,,,,
S61,20,,,,
S61,40,,,,
S61,60,,,,
S62,0,,,,
S62,2,,,,
S62,5,,,,
S62,10,,,,
S62,20,,,,
S62,40,,,,
S62,60,,,,
S63,0,,,,
S63,2,,,,
S63,5,,,,
