# MarsWorm | V5 A plant on open Mars | Exp 1 | Does a cold leaf hold its water at Martian pressure?
# Sheet: samples.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
sample_id,run_id,leaf_type,pressure_mbar,temperature_c,bench_position,leaf_area_cm2,start_mass_g,date_cut,notes
S01,R1,crop leaf,6,-20,39,,,,
S02,R1,crop leaf,6,-20,19,,,,
S03,R1,crop leaf,6,-20,20,,,,
S04,R1,crop leaf,6,-10,1,,,,
S05,R1,crop leaf,6,-10,40,,,,
S06,R1,crop leaf,6,-10,21,,,,
S07,R1,crop leaf,6,-2,32,,,,
S08,R1,crop leaf,6,-2,52,,,,
S09,R1,crop leaf,6,-2,24,,,,
S10,R1,crop leaf,6,5,77,,,,
S11,R1,crop leaf,6,5,55,,,,
S12,R1,crop leaf,6,5,53,,,,
S13,R1,crop leaf,6,20,64,,,,
S14,R1,crop leaf,6,20,68,,,,
S15,R1,crop leaf,6,20,66,,,,
S16,R2,desert succulent,6,-20,89,,,,
S17,R2,desert succulent,6,-20,49,,,,
S18,R2,desert succulent,6,-20,83,,,,
S19,R2,desert succulent,6,-10,12,,,,
S20,R2,desert succulent,6,-10,69,,,,
S21,R2,desert succulent,6,-10,63,,,,
S22,R2,desert succulent,6,-2,35,,,,
S23,R2,desert succulent,6,-2,37,,,,
S24,R2,desert succulent,6,-2,81,,,,
S25,R2,desert succulent,6,5,14,,,,
S26,R2,desert succulent,6,5,13,,,,
S27,R2,desert succulent,6,5,2,,,,
S28,R2,desert succulent,6,20,76,,,,
S29,R2,desert succulent,6,20,9,,,,
S30,R2,desert succulent,6,20,11,,,,
S31,R3,moss,6,-20,58,,,,
S32,R3,moss,6,-20,61,,,,
S33,R3,moss,6,-20,48,,,,
S34,R3,moss,6,-10,46,,,,
S35,R3,moss,6,-10,74,,,,
S36,R3,moss,6,-10,3,,,,
S37,R3,moss,6,-2,56,,,,
S38,R3,moss,6,-2,73,,,,
S39,R3,moss,6,-2,54,,,,
S40,R3,moss,6,5,38,,,,
S41,R3,moss,6,5,23,,,,
S42,R3,moss,6,5,15,,,,
S43,R3,moss,6,20,31,,,,
S44,R3,moss,6,20,42,,,,
S45,R3,moss,6,20,50,,,,
S46,R4,crop leaf,1013,-20,60,,,,
S47,R4,crop leaf,1013,-20,71,,,,
S48,R4,crop leaf,1013,-20,86,,,,
S49,R4,crop leaf,1013,-10,16,,,,
S50,R4,crop leaf,1013,-10,29,,,,
S51,R4,crop leaf,1013,-10,25,,,,
S52,R4,crop leaf,1013,-2,27,,,,
S53,R4,crop leaf,1013,-2,36,,,,
S54,R4,crop leaf,1013,-2,44,,,,
S55,R4,crop leaf,1013,5,51,,,,
S56,R4,crop leaf,1013,5,6,,,,
S57,R4,crop leaf,1013,5,10,,,,
S58,R4,crop leaf,1013,20,85,,,,
S59,R4,crop leaf,1013,20,75,,,,
S60,R4,crop leaf,1013,20,82,,,,
S61,R5,desert succulent,1013,-20,70,,,,
S62,R5,desert succulent,1013,-20,43,,,,
S63,R5,desert succulent,1013,-20,33,,,,
S64,R5,desert succulent,1013,-10,41,,,,
S65,R5,desert succulent,1013,-10,87,,,,
S66,R5,desert succulent,1013,-10,90,,,,
S67,R5,desert succulent,1013,-2,18,,,,
S68,R5,desert succulent,1013,-2,78,,,,
S69,R5,desert succulent,1013,-2,72,,,,
S70,R5,desert succulent,1013,5,26,,,,
S71,R5,desert succulent,1013,5,57,,,,
S72,R5,desert succulent,1013,5,30,,,,
S73,R5,desert succulent,1013,20,84,,,,
S74,R5,desert succulent,1013,20,7,,,,
S75,R5,desert succulent,1013,20,80,,,,
S76,R6,moss,1013,-20,8,,,,
S77,R6,moss,1013,-20,34,,,,
S78,R6,moss,1013,-20,17,,,,
S79,R6,moss,1013,-10,45,,,,
S80,R6,moss,1013,-10,22,,,,
S81,R6,moss,1013,-10,5,,,,
S82,R6,moss,1013,-2,4,,,,
S83,R6,moss,1013,-2,88,,,,
S84,R6,moss,1013,-2,47,,,,
S85,R6,moss,1013,5,67,,,,
S86,R6,moss,1013,5,62,,,,
S87,R6,moss,1013,5,65,,,,
S88,R6,moss,1013,20,59,,,,
S89,R6,moss,1013,20,28,,,,
S90,R6,moss,1013,20,79,,,,
