# MarsWorm | V5 A plant on open Mars | Exp 1 | Does a cold leaf hold its water at Martian pressure?
# Sheet: dry_mass.csv | invented numbers, a dry run and not a result | scenario: the-step-is-real | every column is defined in the codebook for this experiment
sample_id,date,end_mass_g,dry_mass_g,method,notes
S01,2027-03-08,0.6708,0.0769,oven at 70 C to constant mass,
S02,2027-03-08,0.4621,0.053,oven at 70 C to constant mass,
S03,2027-03-08,0.5446,0.0628,oven at 70 C to constant mass,
S04,2027-03-08,0.4856,0.0584,oven at 70 C to constant mass,
S05,2027-03-08,0.4453,0.0542,oven at 70 C to constant mass,
S06,2027-03-08,0.4585,0.0554,oven at 70 C to constant mass,
S07,2027-03-08,0.4468,0.0555,oven at 70 C to constant mass,
S08,2027-03-08,0.47,0.0603,oven at 70 C to constant mass,
S09,2027-03-08,0.503,0.0622,oven at 70 C to constant mass,
S10,2027-03-08,0.0839,0.0665,oven at 70 C to constant mass,
S11,2027-03-08,0.0726,0.0631,oven at 70 C to constant mass,
S12,2027-03-08,0.0816,0.071,oven at 70 C to constant mass,
S13,2027-03-08,0.0685,0.0611,oven at 70 C to constant mass,
S14,2027-03-08,0.0678,0.0598,oven at 70 C to constant mass,
S15,2027-03-08,0.0653,0.058,oven at 70 C to constant mass,
S16,2027-03-08,1.1644,0.071,oven at 70 C to constant mass,
S17,2027-03-08,1.0543,0.0671,oven at 70 C to constant mass,
S18,2027-03-08,1.289,0.083,oven at 70 C to constant mass,
S19,2027-03-08,1.2441,0.0842,oven at 70 C to constant mass,
S20,2027-03-08,1.3235,0.0871,oven at 70 C to constant mass,
S21,2027-03-08,1.3124,0.085,oven at 70 C to constant mass,
S22,2027-03-08,1.0583,0.0727,oven at 70 C to constant mass,
S23,2027-03-08,1.1352,0.0744,oven at 70 C to constant mass,
S24,2027-03-08,1.0742,0.0718,oven at 70 C to constant mass,
S25,2027-03-08,0.4096,0.0941,oven at 70 C to constant mass,
S26,2027-03-08,0.3324,0.08,oven at 70 C to constant mass,
S27,2027-03-08,0.3803,0.0847,oven at 70 C to constant mass,
S28,2027-03-08,0.2217,0.0735,oven at 70 C to constant mass,
S29,2027-03-08,0.2095,0.0683,oven at 70 C to constant mass,
S30,2027-03-08,0.2194,0.0749,oven at 70 C to constant mass,
S31,2027-03-08,0.2904,0.0502,oven at 70 C to constant mass,
S32,2027-03-08,0.3117,0.0534,oven at 70 C to constant mass,
S33,2027-03-08,0.2364,0.0427,oven at 70 C to constant mass,
S34,2027-03-08,0.2893,0.0544,oven at 70 C to constant mass,
S35,2027-03-08,0.2569,0.0464,oven at 70 C to constant mass,
S36,2027-03-08,0.2589,0.0494,oven at 70 C to constant mass,
S37,2027-03-08,0.257,0.0502,oven at 70 C to constant mass,
S38,2027-03-08,0.2467,0.0476,oven at 70 C to constant mass,
S39,2027-03-08,0.2679,0.0539,oven at 70 C to constant mass,
S40,2027-03-08,0.0616,0.0581,oven at 70 C to constant mass,
S41,2027-03-08,0.0564,0.0531,oven at 70 C to constant mass,
S42,2027-03-08,0.0528,0.0482,oven at 70 C to constant mass,
S43,2027-03-08,0.0553,0.0553,oven at 70 C to constant mass,
S44,2027-03-08,0.0553,0.0541,oven at 70 C to constant mass,
S45,2027-03-08,0.0586,0.0581,oven at 70 C to constant mass,
