# MarsWorm | V5 A plant on open Mars | Exp 1 | Does a cold leaf hold its water at Martian pressure?
# Sheet: mass_log.csv | invented numbers, a dry run and not a result | scenario: the-step-is-real | every column is defined in the codebook for this experiment
sample_id,minute,clock_time,mass_g,appearance,notes
S01,0,13:00,0.756,firm,
S01,2,13:02,0.7532,,
S01,5,13:05,0.7491,,
S01,10,13:10,0.7415,,
S01,20,13:20,0.7262,,
S01,40,13:40,0.6975,,
S01,60,14:00,0.6715,,
S02,0,13:00,0.52,firm,
S02,2,13:02,0.5178,,
S02,5,13:05,0.5148,,
S02,10,13:10,0.5093,,
S02,20,13:20,0.4998,,
S02,40,13:40,0.4804,,
S02,60,14:00,0.462,,
S03,0,13:00,0.623,firm,
S03,2,13:02,0.62,,
S03,5,13:05,0.6162,,
S03,10,13:10,0.6099,,
S03,20,13:20,0.5962,,
S03,40,13:40,0.5693,,
S03,60,14:00,0.545,,
S04,0,13:00,0.5814,firm,
S04,2,13:02,0.5776,,
S04,5,13:05,0.572,,
S04,10,13:10,0.5637,,
S04,20,13:20,0.5472,,
S04,40,13:40,0.5159,,
S04,60,14:00,0.4852,,
S05,0,13:00,0.5367,firm,
S05,2,13:02,0.5328,,
S05,5,13:05,0.5288,,
S05,10,13:10,0.5206,,
S05,20,13:20,0.5047,,
S05,40,13:40,0.4738,,
S05,60,14:00,0.4459,,
S06,0,13:00,0.5586,firm,
S06,2,13:02,0.5551,,
S06,5,13:05,0.5493,,
S06,10,13:10,0.54,,
S06,20,13:20,0.5226,,
S06,40,13:40,0.489,,
S06,60,14:00,0.4581,,
S07,0,13:00,0.5634,firm,
S07,2,13:02,0.5589,,
S07,5,13:05,0.5522,,
S07,10,13:10,0.5415,,
S07,20,13:20,0.5202,,
S07,40,13:40,0.4822,,
S07,60,14:00,0.4462,,
S08,0,13:00,0.5927,firm,
S08,2,13:02,0.5886,,
S08,5,13:05,0.5811,,
S08,10,13:10,0.5711,,
S08,20,13:20,0.5481,,
S08,40,13:40,0.5078,,
S08,60,14:00,0.4694,,
S09,0,13:00,0.6279,firm,
S09,2,13:02,0.6231,,
S09,5,13:05,0.6165,,
S09,10,13:10,0.605,,
S09,20,13:20,0.5828,,
S09,40,13:40,0.5411,,
S09,60,14:00,0.5038,,
S10,0,13:00,0.6728,firm,
S10,2,13:02,0.6046,bubbling,
S10,5,13:05,0.5157,frothing,
S10,10,13:10,0.3996,frothing,
S10,20,13:20,0.25,collapsed,
S10,40,13:40,0.1221,collapsed,
S10,60,14:00,0.0841,collapsed,
S11,0,13:00,0.6143,firm,
S11,2,13:02,0.5476,bubbling,
S11,5,13:05,0.461,frothing,
S11,10,13:10,0.3498,frothing,
S11,20,13:20,0.2123,collapsed,
S11,40,13:40,0.1028,collapsed,
S11,60,14:00,0.0732,collapsed,
S12,0,13:00,0.6775,firm,
S12,2,13:02,0.6059,bubbling,
S12,5,13:05,0.5127,frothing,
S12,10,13:10,0.3924,frothing,
S12,20,13:20,0.2408,collapsed,
S12,40,13:40,0.1163,collapsed,
S12,60,14:00,0.0821,collapsed,
S13,0,13:00,0.63,firm,
S13,2,13:02,0.5493,bubbling,
S13,5,13:05,0.4481,frothing,
S13,10,13:10,0.3249,frothing,
S13,20,13:20,0.184,collapsed,
S13,40,13:40,0.088,collapsed,
S13,60,14:00,0.0686,collapsed,
S14,0,13:00,0.6049,firm,
S14,2,13:02,0.5315,bubbling,
S14,5,13:05,0.4404,frothing,
S14,10,13:10,0.3259,frothing,
S14,20,13:20,0.1903,collapsed,
S14,40,13:40,0.0915,collapsed,
S14,60,14:00,0.068,collapsed,
S15,0,13:00,0.5815,firm,
S15,2,13:02,0.5112,bubbling,
S15,5,13:05,0.4237,frothing,
S15,10,13:10,0.3144,frothing,
S15,20,13:20,0.183,collapsed,
S15,40,13:40,0.0877,collapsed,
S15,60,14:00,0.0658,collapsed,
S16,0,13:00,1.2295,firm,
S16,2,13:02,1.2283,,
S16,5,13:05,1.2253,,
S16,10,13:10,1.2185,,
S16,20,13:20,1.2078,,
S16,40,13:40,1.186,,
S16,60,14:00,1.1645,,
S17,0,13:00,1.1275,firm,
S17,2,13:02,1.1248,,
S17,5,13:05,1.1204,,
S17,10,13:10,1.1146,,
S17,20,13:20,1.1024,,
S17,40,13:40,1.078,,
S17,60,14:00,1.0544,,
S18,0,13:00,1.3785,firm,
S18,2,13:02,1.3747,,
S18,5,13:05,1.3704,,
S18,10,13:10,1.3631,,
S18,20,13:20,1.3476,,
S18,40,13:40,1.3186,,
S18,60,14:00,1.2888,,
S19,0,13:00,1.3629,firm,
S19,2,13:02,1.3597,,
S19,5,13:05,1.3529,,
S19,10,13:10,1.3424,,
S19,20,13:20,1.322,,
S19,40,13:40,1.2819,,
S19,60,14:00,1.2435,,
S20,0,13:00,1.4447,firm,
S20,2,13:02,1.4406,,
S20,5,13:05,1.4345,,
S20,10,13:10,1.4235,,
S20,20,13:20,1.403,,
S20,40,13:40,1.3628,,
S20,60,14:00,1.3239,,
S21,0,13:00,1.4462,firm,
S21,2,13:02,1.4415,,
S21,5,13:05,1.434,,
S21,10,13:10,1.423,,
S21,20,13:20,1.4004,,
S21,40,13:40,1.3554,,
S21,60,14:00,1.3123,,
S22,0,13:00,1.1806,firm,
S22,2,13:02,1.1764,,
S22,5,13:05,1.1705,,
S22,10,13:10,1.1596,,
S22,20,13:20,1.1387,,
S22,40,13:40,1.098,,
S22,60,14:00,1.0581,,
S23,0,13:00,1.2715,firm,
S23,2,13:02,1.2669,,
S23,5,13:05,1.2599,,
S23,10,13:10,1.2474,,
S23,20,13:20,1.2254,,
S23,40,13:40,1.1789,,
S23,60,14:00,1.1355,,
S24,0,13:00,1.2042,firm,
S24,2,13:02,1.1992,,
S24,5,13:05,1.1927,,
S24,10,13:10,1.1813,,
S24,20,13:20,1.1592,,
S24,40,13:40,1.1153,,
S24,60,14:00,1.0744,,
S25,0,13:00,1.5559,firm,
S25,2,13:02,1.4838,bubbling,
S25,5,13:05,1.3812,frothing,
S25,10,13:10,1.2279,frothing,
S25,20,13:20,0.971,collapsed,
S25,40,13:40,0.6209,collapsed,
S25,60,14:00,0.4101,collapsed,
S26,0,13:00,1.371,firm,
S26,2,13:02,1.3017,bubbling,
S26,5,13:05,1.2068,frothing,
S26,10,13:10,1.0626,frothing,
S26,20,13:20,0.8281,collapsed,
S26,40,13:40,0.5143,collapsed,
S26,60,14:00,0.3313,collapsed,
S27,0,13:00,1.4092,firm,
S27,2,13:02,1.3455,bubbling,
S27,5,13:05,1.2548,frothing,
S27,10,13:10,1.1167,frothing,
S27,20,13:20,0.8883,collapsed,
S27,40,13:40,0.5722,collapsed,
S27,60,14:00,0.3801,collapsed,
S28,0,13:00,1.2391,firm,
S28,2,13:02,1.1614,bubbling,
S28,5,13:05,1.0549,frothing,
S28,10,13:10,0.8997,frothing,
S28,20,13:20,0.6594,collapsed,
S28,40,13:40,0.3673,collapsed,
S28,60,14:00,0.2213,collapsed,
S29,0,13:00,1.1774,firm,
S29,2,13:02,1.1043,bubbling,
S29,5,13:05,1.0025,frothing,
S29,10,13:10,0.8537,frothing,
S29,20,13:20,0.6253,collapsed,
S29,40,13:40,0.3472,collapsed,
S29,60,14:00,0.2094,collapsed,
S30,0,13:00,1.2923,firm,
S30,2,13:02,1.2083,bubbling,
S30,5,13:05,1.0928,frothing,
