# MarsWorm | V5 A plant on open Mars | Exp 1 | Does a cold leaf hold its water at Martian pressure?
# Sheet: recovery.csv | invented numbers, a dry run and not a result | scenario: the-step-is-real | every column is defined in the codebook for this experiment
sample_id,date,water_added_ml,green_after_48h,recovered,notes
S01,2027-03-10,5,y,y,
S02,2027-03-10,5,y,y,
S03,2027-03-10,5,y,y,
S04,2027-03-10,5,y,y,
S05,2027-03-10,5,y,y,
S06,2027-03-10,5,y,y,
S07,2027-03-10,5,y,y,
S08,2027-03-10,5,y,y,
S09,2027-03-10,5,y,y,
S10,2027-03-10,5,n,n,
S11,2027-03-10,5,n,n,
S12,2027-03-10,5,n,n,
S13,2027-03-10,5,n,n,
S14,2027-03-10,5,n,n,
S15,2027-03-10,5,n,n,
S16,2027-03-10,5,y,y,
S17,2027-03-10,5,y,y,
S18,2027-03-10,5,y,y,
S19,2027-03-10,5,y,y,
S20,2027-03-10,5,y,y,
S21,2027-03-10,5,y,y,
S22,2027-03-10,5,y,y,
S23,2027-03-10,5,y,y,
S24,2027-03-10,5,y,y,
S25,2027-03-10,5,n,n,
S26,2027-03-10,5,n,n,
S27,2027-03-10,5,n,n,
S28,2027-03-10,5,n,n,
S29,2027-03-10,5,n,n,
S30,2027-03-10,5,n,n,
S31,2027-03-10,5,y,y,
S32,2027-03-10,5,y,y,
S33,2027-03-10,5,y,y,
S34,2027-03-10,5,y,y,
S35,2027-03-10,5,y,y,
S36,2027-03-10,5,y,y,
S37,2027-03-10,5,y,y,
S38,2027-03-10,5,y,y,
S39,2027-03-10,5,y,y,
S40,2027-03-10,5,n,n,
S41,2027-03-10,5,n,n,
S42,2027-03-10,5,n,n,
S43,2027-03-10,5,n,n,
S44,2027-03-10,5,n,n,
S45,2027-03-10,5,n,n,
S46,2027-03-10,5,y,y,
S47,2027-03-10,5,y,y,
S48,2027-03-10,5,y,y,
S49,2027-03-10,5,y,y,
S50,2027-03-10,5,y,y,
S51,2027-03-10,5,y,y,
S52,2027-03-10,5,y,y,
S53,2027-03-10,5,y,y,
S54,2027-03-10,5,y,y,
S55,2027-03-10,5,y,y,
S56,2027-03-10,5,y,y,
S57,2027-03-10,5,y,y,
S58,2027-03-10,5,y,y,
S59,2027-03-10,5,y,y,
S60,2027-03-10,5,y,y,
S61,2027-03-10,5,y,y,
S62,2027-03-10,5,y,y,
S63,2027-03-10,5,y,y,
S64,2027-03-10,5,y,y,
S65,2027-03-10,5,y,y,
S66,2027-03-10,5,y,y,
S67,2027-03-10,5,y,y,
S68,2027-03-10,5,y,y,
S69,2027-03-10,5,y,y,
S70,2027-03-10,5,y,y,
S71,2027-03-10,5,y,y,
S72,2027-03-10,5,y,y,
S73,2027-03-10,5,y,y,
S74,2027-03-10,5,y,y,
S75,2027-03-10,5,y,y,
S76,2027-03-10,5,y,y,
S77,2027-03-10,5,y,y,
S78,2027-03-10,5,y,y,
S79,2027-03-10,5,y,y,
S80,2027-03-10,5,y,y,
S81,2027-03-10,5,y,y,
S82,2027-03-10,5,y,y,
S83,2027-03-10,5,y,y,
S84,2027-03-10,5,y,y,
S85,2027-03-10,5,y,y,
S86,2027-03-10,5,y,y,
S87,2027-03-10,5,y,y,
S88,2027-03-10,5,y,y,
S89,2027-03-10,5,y,y,
S90,2027-03-10,5,y,y,
