# MarsWorm | V5 A plant on open Mars | Exp 1 | Does a cold leaf hold its water at Martian pressure?
# Sheet: samples.csv | invented numbers, a dry run and not a result | scenario: the-step-is-real | every column is defined in the codebook for this experiment
sample_id,run_id,leaf_type,pressure_mbar,temperature_c,bench_position,leaf_area_cm2,start_mass_g,date_cut,notes
S01,R1,crop leaf,6,-20,39,10.6,0.7562,2027-03-08,
S02,R1,crop leaf,6,-20,19,7.3,0.5202,2027-03-08,
S03,R1,crop leaf,6,-20,20,8.7,0.6235,2027-03-08,
S04,R1,crop leaf,6,-10,1,8.1,0.5812,2027-03-08,
S05,R1,crop leaf,6,-10,40,7.5,0.5367,2027-03-08,
S06,R1,crop leaf,6,-10,21,7.8,0.5587,2027-03-08,
S07,R1,crop leaf,6,-2,32,7.9,0.5626,2027-03-08,
S08,R1,crop leaf,6,-2,52,8.3,0.5929,2027-03-08,
S09,R1,crop leaf,6,-2,24,8.8,0.6278,2027-03-08,
S10,R1,crop leaf,6,5,77,9.4,0.673,2027-03-08,
S11,R1,crop leaf,6,5,55,8.6,0.6144,2027-03-08,
S12,R1,crop leaf,6,5,53,9.5,0.678,2027-03-08,
S13,R1,crop leaf,6,20,64,8.8,0.6301,2027-03-08,
S14,R1,crop leaf,6,20,68,8.5,0.6047,2027-03-08,
S15,R1,crop leaf,6,20,66,8.1,0.5813,2027-03-08,
S16,R2,desert succulent,6,-20,89,17.2,1.2298,2027-03-08,
S17,R2,desert succulent,6,-20,49,15.8,1.1274,2027-03-08,
S18,R2,desert succulent,6,-20,83,19.3,1.3783,2027-03-08,
S19,R2,desert succulent,6,-10,12,19.1,1.3634,2027-03-08,
S20,R2,desert succulent,6,-10,69,20.2,1.4448,2027-03-08,
S21,R2,desert succulent,6,-10,63,20.2,1.4463,2027-03-08,
S22,R2,desert succulent,6,-2,35,16.5,1.1808,2027-03-08,
S23,R2,desert succulent,6,-2,37,17.8,1.272,2027-03-08,
S24,R2,desert succulent,6,-2,81,16.9,1.2041,2027-03-08,
S25,R2,desert succulent,6,5,14,21.8,1.5568,2027-03-08,
S26,R2,desert succulent,6,5,13,19.2,1.3708,2027-03-08,
S27,R2,desert succulent,6,5,2,19.7,1.4099,2027-03-08,
S28,R2,desert succulent,6,20,76,17.3,1.2392,2027-03-08,
S29,R2,desert succulent,6,20,9,16.5,1.1779,2027-03-08,
S30,R2,desert succulent,6,20,11,18.1,1.292,2027-03-08,
S31,R3,moss,6,-20,58,4.8,0.343,2027-03-08,
S32,R3,moss,6,-20,61,5.1,0.3663,2027-03-08,
S33,R3,moss,6,-20,48,4.0,0.2841,2027-03-08,
S34,R3,moss,6,-10,46,5.1,0.3608,2027-03-08,
S35,R3,moss,6,-10,74,4.4,0.3115,2027-03-08,
S36,R3,moss,6,-10,3,4.6,0.3253,2027-03-08,
S37,R3,moss,6,-2,56,4.7,0.3333,2027-03-08,
S38,R3,moss,6,-2,73,4.6,0.3292,2027-03-08,
S39,R3,moss,6,-2,54,5.1,0.3661,2027-03-08,
S40,R3,moss,6,5,38,5.4,0.3834,2027-03-08,
S41,R3,moss,6,5,23,5.1,0.3611,2027-03-08,
S42,R3,moss,6,5,15,4.5,0.3246,2027-03-08,
S43,R3,moss,6,20,31,5.1,0.3644,2027-03-08,
S44,R3,moss,6,20,42,5.1,0.3626,2027-03-08,
S45,R3,moss,6,20,50,5.4,0.3827,2027-03-08,
S46,R4,crop leaf,1013,-20,60,8.6,0.614,2027-03-08,
S47,R4,crop leaf,1013,-20,71,6.7,0.4802,2027-03-08,
S48,R4,crop leaf,1013,-20,86,7.6,0.541,2027-03-08,
S49,R4,crop leaf,1013,-10,16,7.9,0.5664,2027-03-08,
S50,R4,crop leaf,1013,-10,29,9.2,0.6604,2027-03-08,
S51,R4,crop leaf,1013,-10,25,8.2,0.5853,2027-03-08,
S52,R4,crop leaf,1013,-2,27,9.2,0.6596,2027-03-08,
S53,R4,crop leaf,1013,-2,36,8.6,0.6157,2027-03-08,
S54,R4,crop leaf,1013,-2,44,7.1,0.5105,2027-03-08,
S55,R4,crop leaf,1013,5,51,8.4,0.5982,2027-03-08,
S56,R4,crop leaf,1013,5,6,8.9,0.6342,2027-03-08,
S57,R4,crop leaf,1013,5,10,8.7,0.6238,2027-03-08,
S58,R4,crop leaf,1013,20,85,6.9,0.4897,2027-03-08,
S59,R4,crop leaf,1013,20,75,8.8,0.6252,2027-03-08,
S60,R4,crop leaf,1013,20,82,7.7,0.5532,2027-03-08,
S61,R5,desert succulent,1013,-20,70,14.5,1.0388,2027-03-08,
S62,R5,desert succulent,1013,-20,43,18.1,1.2939,2027-03-08,
S63,R5,desert succulent,1013,-20,33,14.9,1.0616,2027-03-08,
S64,R5,desert succulent,1013,-10,41,16.5,1.1771,2027-03-08,
S65,R5,desert succulent,1013,-10,87,22.8,1.6267,2027-03-08,
S66,R5,desert succulent,1013,-10,90,25.1,1.796,2027-03-08,
S67,R5,desert succulent,1013,-2,18,21.9,1.5637,2027-03-08,
S68,R5,desert succulent,1013,-2,78,20.4,1.46,2027-03-08,
S69,R5,desert succulent,1013,-2,72,23.8,1.7027,2027-03-08,
S70,R5,desert succulent,1013,5,26,20.2,1.4448,2027-03-08,
S71,R5,desert succulent,1013,5,57,17.2,1.2258,2027-03-08,
S72,R5,desert succulent,1013,5,30,13.7,0.9816,2027-03-08,
S73,R5,desert succulent,1013,20,84,21.5,1.5387,2027-03-08,
S74,R5,desert succulent,1013,20,7,14.2,1.0146,2027-03-08,
S75,R5,desert succulent,1013,20,80,12.8,0.914,2027-03-08,
S76,R6,moss,1013,-20,8,4.5,0.3199,2027-03-08,
S77,R6,moss,1013,-20,34,4.9,0.3498,2027-03-08,
S78,R6,moss,1013,-20,17,4.4,0.3113,2027-03-08,
S79,R6,moss,1013,-10,45,5.5,0.3903,2027-03-08,
S80,R6,moss,1013,-10,22,4.8,0.3435,2027-03-08,
S81,R6,moss,1013,-10,5,5.0,0.3558,2027-03-08,
S82,R6,moss,1013,-2,4,5.1,0.3656,2027-03-08,
S83,R6,moss,1013,-2,88,4.5,0.3228,2027-03-08,
S84,R6,moss,1013,-2,47,5.0,0.3559,2027-03-08,
S85,R6,moss,1013,5,67,6.2,0.4441,2027-03-08,
S86,R6,moss,1013,5,62,4.3,0.3083,2027-03-08,
S87,R6,moss,1013,5,65,5.0,0.3542,2027-03-08,
S88,R6,moss,1013,20,59,5.2,0.3692,2027-03-08,
S89,R6,moss,1013,20,28,4.5,0.3248,2027-03-08,
S90,R6,moss,1013,20,79,4.8,0.3454,2027-03-08,
