# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: care_log.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
tray_id,month,day,date,on_schedule,light_hours,mould_seen,notes
T01,1,30,,,,,
T01,2,60,,,,,
T01,3,90,,,,,
T01,4,120,,,,,
T01,5,150,,,,,
T01,6,180,,,,,
T01,7,210,,,,,
T01,8,240,,,,,
T01,9,270,,,,,
T01,10,300,,,,,
T01,11,330,,,,,
T01,12,360,,,,,
T02,1,30,,,,,
T02,2,60,,,,,
T02,3,90,,,,,
T02,4,120,,,,,
T02,5,150,,,,,
T02,6,180,,,,,
T02,7,210,,,,,
T02,8,240,,,,,
T02,9,270,,,,,
T02,10,300,,,,,
T02,11,330,,,,,
T02,12,360,,,,,
T03,1,30,,,,,
T03,2,60,,,,,
T03,3,90,,,,,
T03,4,120,,,,,
T03,5,150,,,,,
T03,6,180,,,,,
T03,7,210,,,,,
T03,8,240,,,,,
T03,9,270,,,,,
T03,10,300,,,,,
T03,11,330,,,,,
T03,12,360,,,,,
T04,1,30,,,,,
T04,2,60,,,,,
T04,3,90,,,,,
T04,4,120,,,,,
T04,5,150,,,,,
T04,6,180,,,,,
T04,7,210,,,,,
T04,8,240,,,,,
T04,9,270,,,,,
T04,10,300,,,,,
T04,11,330,,,,,
T04,12,360,,,,,
T05,1,30,,,,,
T05,2,60,,,,,
T05,3,90,,,,,
T05,4,120,,,,,
T05,5,150,,,,,
T05,6,180,,,,,
T05,7,210,,,,,
T05,8,240,,,,,
T05,9,270,,,,,
T05,10,300,,,,,
T05,11,330,,,,,
T05,12,360,,,,,
T06,1,30,,,,,
T06,2,60,,,,,
T06,3,90,,,,,
T06,4,120,,,,,
T06,5,150,,,,,
T06,6,180,,,,,
T06,7,210,,,,,
T06,8,240,,,,,
T06,9,270,,,,,
T06,10,300,,,,,
T06,11,330,,,,,
T06,12,360,,,,,
T07,1,30,,,,,
T07,2,60,,,,,
T07,3,90,,,,,
T07,4,120,,,,,
T07,5,150,,,,,
T07,6,180,,,,,
T07,7,210,,,,,
T07,8,240,,,,,
T07,9,270,,,,,
T07,10,300,,,,,
T07,11,330,,,,,
T07,12,360,,,,,
T08,1,30,,,,,
T08,2,60,,,,,
T08,3,90,,,,,
T08,4,120,,,,,
T08,5,150,,,,,
T08,6,180,,,,,
T08,7,210,,,,,
T08,8,240,,,,,
T08,9,270,,,,,
T08,10,300,,,,,
T08,11,330,,,,,
T08,12,360,,,,,
T09,1,30,,,,,
T09,2,60,,,,,
T09,3,90,,,,,
T09,4,120,,,,,
T09,5,150,,,,,
T09,6,180,,,,,
T09,7,210,,,,,
T09,8,240,,,,,
T09,9,270,,,,,
T09,10,300,,,,,
T09,11,330,,,,,
T09,12,360,,,,,
T10,1,30,,,,,
T10,2,60,,,,,
T10,3,90,,,,,
T10,4,120,,,,,
T10,5,150,,,,,
T10,6,180,,,,,
T10,7,210,,,,,
T10,8,240,,,,,
T10,9,270,,,,,
T10,10,300,,,,,
T10,11,330,,,,,
T10,12,360,,,,,
T11,1,30,,,,,
T11,2,60,,,,,
T11,3,90,,,,,
T11,4,120,,,,,
T11,5,150,,,,,
T11,6,180,,,,,
T11,7,210,,,,,
T11,8,240,,,,,
T11,9,270,,,,,
T11,10,300,,,,,
T11,11,330,,,,,
T11,12,360,,,,,
T12,1,30,,,,,
T12,2,60,,,,,
T12,3,90,,,,,
T12,4,120,,,,,
T12,5,150,,,,,
T12,6,180,,,,,
T12,7,210,,,,,
T12,8,240,,,,,
T12,9,270,,,,,
T12,10,300,,,,,
T12,11,330,,,,,
T12,12,360,,,,,
T13,1,30,,,,,
T13,2,60,,,,,
T13,3,90,,,,,
T13,4,120,,,,,
T13,5,150,,,,,
T13,6,180,,,,,
T13,7,210,,,,,
T13,8,240,,,,,
T13,9,270,,,,,
T13,10,300,,,,,
T13,11,330,,,,,
T13,12,360,,,,,
T14,1,30,,,,,
T14,2,60,,,,,
T14,3,90,,,,,
T14,4,120,,,,,
T14,5,150,,,,,
T14,6,180,,,,,
T14,7,210,,,,,
T14,8,240,,,,,
T14,9,270,,,,,
T14,10,300,,,,,
T14,11,330,,,,,
T14,12,360,,,,,
T15,1,30,,,,,
T15,2,60,,,,,
T15,3,90,,,,,
T15,4,120,,,,,
T15,5,150,,,,,
T15,6,180,,,,,
T15,7,210,,,,,
T15,8,240,,,,,
T15,9,270,,,,,
T15,10,300,,,,,
T15,11,330,,,,,
T15,12,360,,,,,
T16,1,30,,,,,
T16,2,60,,,,,
T16,3,90,,,,,
T16,4,120,,,,,
T16,5,150,,,,,
T16,6,180,,,,,
T16,7,210,,,,,
T16,8,240,,,,,
T16,9,270,,,,,
T16,10,300,,,,,
T16,11,330,,,,,
T16,12,360,,,,,
T17,1,30,,,,,
T17,2,60,,,,,
T17,3,90,,,,,
T17,4,120,,,,,
T17,5,150,,,,,
T17,6,180,,,,,
T17,7,210,,,,,
T17,8,240,,,,,
T17,9,270,,,,,
T17,10,300,,,,,
T17,11,330,,,,,
T17,12,360,,,,,
T18,1,30,,,,,
T18,2,60,,,,,
T18,3,90,,,,,
T18,4,120,,,,,
T18,5,150,,,,,
T18,6,180,,,,,
T18,7,210,,,,,
T18,8,240,,,,,
T18,9,270,,,,,
T18,10,300,,,,,
T18,11,330,,,,,
T18,12,360,,,,,
T19,1,30,,,,,
T19,2,60,,,,,
T19,3,90,,,,,
T19,4,120,,,,,
T19,5,150,,,,,
T19,6,180,,,,,
T19,7,210,,,,,
T19,8,240,,,,,
T19,9,270,,,,,
T19,10,300,,,,,
T19,11,330,,,,,
T19,12,360,,,,,
T20,1,30,,,,,
