# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: care_log.csv | invented numbers, a dry run and not a result | scenario: daily-drying-wears-it-out | every column is defined in the codebook for this experiment
tray_id,month,day,date,on_schedule,light_hours,mould_seen,notes
T01,1,30,2027-03-03,y,14,n,
T01,2,60,2027-04-02,y,14,n,
T01,3,90,2027-05-02,y,14,n,
T01,4,120,2027-06-01,y,14,n,
T01,5,150,2027-07-01,y,14,n,
T01,6,180,2027-07-31,y,14,n,
T01,7,210,2027-08-30,y,14,n,
T01,8,240,2027-09-29,y,14,n,
T01,9,270,2027-10-29,y,14,n,
T01,10,300,2027-11-28,y,14,n,
T01,11,330,2027-12-28,y,14,n,
T01,12,360,2028-01-27,y,14,n,
T02,1,30,2027-03-03,y,14,n,
T02,2,60,2027-04-02,y,14,n,
T02,3,90,2027-05-02,y,14,n,
T02,4,120,2027-06-01,y,14,n,
T02,5,150,2027-07-01,y,14,n,
T02,6,180,2027-07-31,y,14,n,
T02,7,210,2027-08-30,y,14,n,
T02,8,240,2027-09-29,y,14,n,
T02,9,270,2027-10-29,y,14,n,
T02,10,300,2027-11-28,y,14,n,
T02,11,330,2027-12-28,y,14,n,
T02,12,360,2028-01-27,y,14,n,
T03,1,30,2027-03-03,y,14,n,
T03,2,60,2027-04-02,y,14,n,
T03,3,90,2027-05-02,y,14,n,
T03,4,120,2027-06-01,y,14,n,
T03,5,150,2027-07-01,y,14,n,
T03,6,180,2027-07-31,y,14,n,
T03,7,210,2027-08-30,y,14,n,
T03,8,240,2027-09-29,y,14,n,
T03,9,270,2027-10-29,y,14,n,
T03,10,300,2027-11-28,y,14,n,
T03,11,330,2027-12-28,y,14,n,
T03,12,360,2028-01-27,y,14,n,
T04,1,30,2027-03-03,y,14,y,
T04,2,60,2027-04-02,y,14,n,
T04,3,90,2027-05-02,y,14,n,
T04,4,120,2027-06-01,y,14,n,
T04,5,150,2027-07-01,y,14,n,
T04,6,180,2027-07-31,y,14,n,
T04,7,210,2027-08-30,y,14,n,
