# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: cycles.csv | invented numbers, a dry run and not a result | scenario: daily-drying-wears-it-out | every column is defined in the codebook for this experiment
tray_id,cycle,day,date,dry_mass_g,rewet_minutes,notes
T01,1,1,2027-02-02,9.16,10,
T01,2,2,2027-02-03,10.12,11,
T01,3,3,2027-02-04,9.89,12,
T01,4,4,2027-02-05,9.39,13,
T01,5,5,2027-02-06,9.22,11,
T01,6,6,2027-02-07,9.4,12,
T01,7,7,2027-02-08,9.64,16,
T01,8,8,2027-02-09,9.13,11,
T01,9,9,2027-02-10,9.65,14,
T01,10,10,2027-02-11,9.75,12,
T01,11,11,2027-02-12,9.6,13,
T01,12,12,2027-02-13,9.01,14,
T01,13,13,2027-02-14,9.02,14,
T01,14,14,2027-02-15,9.32,13,
T01,15,15,2027-02-16,10.01,16,
T01,16,16,2027-02-17,9.55,14,
T01,17,17,2027-02-18,9.23,15,
T01,18,18,2027-02-19,9.6,12,
T01,19,19,2027-02-20,8.99,14,
T01,20,20,2027-02-21,9.39,15,
T01,21,21,2027-02-22,9.16,12,
T01,22,22,2027-02-23,9.54,14,
T01,23,23,2027-02-24,9.68,16,
T01,24,24,2027-02-25,9.19,10,
T01,25,25,2027-02-26,9.44,13,
T01,26,26,2027-02-27,9.49,10,
T01,27,27,2027-02-28,9.4,14,
T01,28,28,2027-03-01,9.27,15,
T01,29,29,2027-03-02,9.45,15,
T01,30,30,2027-03-03,9.77,17,
T01,31,31,2027-03-04,9.74,15,
T01,32,32,2027-03-05,9.46,16,
T01,33,33,2027-03-06,9.5,14,
T01,34,34,2027-03-07,9.52,16,
T01,35,35,2027-03-08,9.3,13,
T01,36,36,2027-03-09,9.57,14,
T01,37,37,2027-03-10,9.01,15,
T01,38,38,2027-03-11,9.02,16,
T01,39,39,2027-03-12,9.27,15,
T01,40,40,2027-03-13,9.71,17,
T01,41,41,2027-03-14,9.38,12,
T01,42,42,2027-03-15,9.28,14,
T01,43,43,2027-03-16,9.64,18,
T01,44,44,2027-03-17,9.59,17,
T01,45,45,2027-03-18,9.55,17,
T01,46,46,2027-03-19,9.3,17,
T01,47,47,2027-03-20,9.32,14,
T01,48,48,2027-03-21,9.41,19,
T01,49,49,2027-03-22,9.35,13,
T01,50,50,2027-03-23,9.73,17,
T01,51,51,2027-03-24,9.54,15,
T01,52,52,2027-03-25,9.52,19,
T01,53,53,2027-03-26,9.22,18,
T01,54,54,2027-03-27,9.48,15,
T01,55,55,2027-03-28,9.44,18,
T01,56,56,2027-03-29,9.16,19,
T01,57,57,2027-03-30,9.09,19,
T01,58,58,2027-03-31,9.55,17,
T01,59,59,2027-04-01,9.17,16,
T01,60,60,2027-04-02,8.79,17,
T01,61,61,2027-04-03,9.35,18,
T01,62,62,2027-04-04,9.65,17,
T01,63,63,2027-04-05,9.29,19,
T01,64,64,2027-04-06,9.38,17,
T01,65,65,2027-04-07,9.06,19,
T01,66,66,2027-04-08,9.2,21,
T01,67,67,2027-04-09,9.14,17,
T01,68,68,2027-04-10,9.4,17,
T01,69,69,2027-04-11,8.98,16,
T01,70,70,2027-04-12,9.15,17,
T01,71,71,2027-04-13,9.63,19,
T01,72,72,2027-04-14,9.45,19,
T01,73,73,2027-04-15,8.78,17,
T01,74,74,2027-04-16,9.22,16,
T01,75,75,2027-04-17,9.49,17,
T01,76,76,2027-04-18,9.07,20,
T01,77,77,2027-04-19,9.19,18,
T01,78,78,2027-04-20,8.96,20,
