# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: recovery.csv | invented numbers, a dry run and not a result | scenario: daily-drying-wears-it-out | every column is defined in the codebook for this experiment
tray_id,month,day,date,cycles_done,fv_fm,hours_after_rewet,method,notes
T01,1,30,2027-03-03,30,0.672,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,2,60,2027-04-02,60,0.56,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,3,90,2027-05-02,90,0.512,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,4,120,2027-06-01,120,0.425,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,5,150,2027-07-01,150,0.36,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,6,180,2027-07-31,180,0.345,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,7,210,2027-08-30,210,0.312,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,8,240,2027-09-29,240,0.258,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,9,270,2027-10-29,270,0.224,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,10,300,2027-11-28,300,0.168,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,11,330,2027-12-28,330,0.17,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T01,12,360,2028-01-27,360,0.136,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,1,30,2027-03-03,30,0.657,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,2,60,2027-04-02,60,0.581,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,3,90,2027-05-02,90,0.47,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,4,120,2027-06-01,120,0.409,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,5,150,2027-07-01,150,0.355,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,6,180,2027-07-31,180,0.321,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,7,210,2027-08-30,210,0.261,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,8,240,2027-09-29,240,0.242,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,9,270,2027-10-29,270,0.223,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,10,300,2027-11-28,300,0.196,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,11,330,2027-12-28,330,0.136,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T02,12,360,2028-01-27,360,0.145,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,1,30,2027-03-03,30,0.638,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,2,60,2027-04-02,60,0.557,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,3,90,2027-05-02,90,0.524,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,4,120,2027-06-01,120,0.42,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,5,150,2027-07-01,150,0.36,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,6,180,2027-07-31,180,0.339,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,7,210,2027-08-30,210,0.284,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,8,240,2027-09-29,240,0.242,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,9,270,2027-10-29,270,0.222,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,10,300,2027-11-28,300,0.176,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,11,330,2027-12-28,330,0.168,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T03,12,360,2028-01-27,360,0.118,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,1,30,2027-03-03,30,0.588,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,2,60,2027-04-02,60,0.462,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,3,90,2027-05-02,90,0.37,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,4,120,2027-06-01,120,0.289,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,5,150,2027-07-01,150,0.249,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,6,180,2027-07-31,180,0.176,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,7,210,2027-08-30,210,0.142,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,8,240,2027-09-29,240,0.121,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,9,270,2027-10-29,270,0.096,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
T04,10,300,2027-11-28,300,0.076,2,"pulse amplitude modulated fluorometer, dark adapted 20 minutes",
