# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: trays.csv | invented numbers, a dry run and not a result | scenario: daily-drying-wears-it-out | every column is defined in the codebook for this experiment
tray_id,level,cycling_rate,days_between_cycles,species,bench_position,start_wet_mass_g,start_dry_mass_g,start_fv_fm,date_started,notes
T01,A,daily,1,desert moss,17,42.97,9.45,0.76,2027-02-01,
T02,A,daily,1,desert moss,6,39.63,8.72,0.771,2027-02-01,
T03,A,daily,1,desert moss,10,42.63,9.38,0.764,2027-02-01,
T04,A,daily,1,resurrection plant,8,55.38,12.18,0.78,2027-02-01,
T05,A,daily,1,resurrection plant,7,56.97,12.53,0.776,2027-02-01,
T06,A,daily,1,resurrection plant,18,54.43,11.97,0.754,2027-02-01,
T07,B,weekly,7,desert moss,2,39.88,8.77,0.757,2027-02-01,
T08,B,weekly,7,desert moss,12,36.29,7.98,0.781,2027-02-01,
T09,B,weekly,7,desert moss,5,42.34,9.31,0.761,2027-02-01,
T10,B,weekly,7,resurrection plant,24,56.89,12.52,0.755,2027-02-01,
T11,B,weekly,7,resurrection plant,13,55.57,12.23,0.77,2027-02-01,
T12,B,weekly,7,resurrection plant,1,51.71,11.38,0.782,2027-02-01,
T13,C,monthly,30,desert moss,11,42.35,9.32,0.768,2027-02-01,
T14,C,monthly,30,desert moss,23,39.83,8.76,0.752,2027-02-01,
T15,C,monthly,30,desert moss,21,45.66,10.05,0.753,2027-02-01,
T16,C,monthly,30,resurrection plant,19,54.17,11.92,0.766,2027-02-01,
T17,C,monthly,30,resurrection plant,16,58.1,12.78,0.729,2027-02-01,
T18,C,monthly,30,resurrection plant,20,58.2,12.8,0.764,2027-02-01,
T19,D,never,0,desert moss,9,43.96,9.67,0.747,2027-02-01,
T20,D,never,0,desert moss,22,42.7,9.4,0.781,2027-02-01,
T21,D,never,0,desert moss,15,41.83,9.2,0.752,2027-02-01,
T22,D,never,0,resurrection plant,14,54.11,11.9,0.753,2027-02-01,
T23,D,never,0,resurrection plant,4,56.75,12.48,0.763,2027-02-01,
T24,D,never,0,resurrection plant,3,53.98,11.88,0.77,2027-02-01,
