# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: trays.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
tray_id,level,cycling_rate,days_between_cycles,species,bench_position,start_wet_mass_g,start_dry_mass_g,start_fv_fm,date_started,notes
T01,A,daily,1,desert moss,17,,,,,
T02,A,daily,1,desert moss,6,,,,,
T03,A,daily,1,desert moss,10,,,,,
T04,A,daily,1,resurrection plant,8,,,,,
T05,A,daily,1,resurrection plant,7,,,,,
T06,A,daily,1,resurrection plant,18,,,,,
T07,B,weekly,7,desert moss,2,,,,,
T08,B,weekly,7,desert moss,12,,,,,
T09,B,weekly,7,desert moss,5,,,,,
T10,B,weekly,7,resurrection plant,24,,,,,
T11,B,weekly,7,resurrection plant,13,,,,,
T12,B,weekly,7,resurrection plant,1,,,,,
T13,C,monthly,30,desert moss,11,,,,,
T14,C,monthly,30,desert moss,23,,,,,
T15,C,monthly,30,desert moss,21,,,,,
T16,C,monthly,30,resurrection plant,19,,,,,
T17,C,monthly,30,resurrection plant,16,,,,,
T18,C,monthly,30,resurrection plant,20,,,,,
T19,D,never,0,desert moss,9,,,,,
T20,D,never,0,desert moss,22,,,,,
T21,D,never,0,desert moss,15,,,,,
T22,D,never,0,resurrection plant,14,,,,,
T23,D,never,0,resurrection plant,4,,,,,
T24,D,never,0,resurrection plant,3,,,,,
